"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.1","...","1016.3","2020-04-01 22:33","1011.6","2020-04-01 15:23","19.5","22.0","2020-04-01 10:12","17.1","2020-04-01 22:42","...","93","79","2020-04-01 16:24","4.5","38","13.6","55","2020-04-01 11:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1016.6","...","1019.3","2020-04-02 09:41","1014.0","2020-04-02 02:21","19.3","21.9","2020-04-02 14:33","16.9","2020-04-02 02:22","...","100","93","2020-04-02 05:42","2.4","48","11.4","26","2020-04-02 14:59","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1016.1","...","1017.6","2020-04-03 20:52","1014.4","2020-04-03 14:32","20.1","23.8","2020-04-03 11:02","18.4","2020-04-03 23:51","...","100","100","2020-04-03 00:01","3.1","47","10.6","19","2020-04-03 12:58","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1016.5","...","1018.5","2020-04-04 20:54","1014.3","2020-04-04 05:07","19.2","22.1","2020-04-04 11:31","17.2","2020-04-04 22:54","...","97","86","2020-04-04 23:53","4.1","45","13.6","55","2020-04-04 20:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1017.2","...","1018.5","2020-04-05 10:33","1015.6","2020-04-05 15:34","17.5","20.1","2020-04-05 12:21","15.7","2020-04-05 20:58","...","87","69","2020-04-05 13:38","3.6","42","9.6","46","2020-04-05 17:34","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1015.2","...","1017.8","2020-04-06 00:23","1012.8","2020-04-06 15:40","17.5","19.8","2020-04-06 13:11","15.7","2020-04-06 02:03","...","100","99","2020-04-06 11:11","2.6","46","8.7","54","2020-04-06 13:19","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.6","...","1015.0","2020-04-07 00:01","1010.5","2020-04-07 03:21","17.8","21.6","2020-04-07 13:52","16.0","2020-04-07 23:52","...","98","82","2020-04-07 14:14","4.0","49","11.6","49","2020-04-07 16:32","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1014.0","...","1015.9","2020-04-08 21:02","1012.2","2020-04-08 14:53","19.7","23.6","2020-04-08 13:21","15.9","2020-04-08 00:21","...","90","73","2020-04-08 11:15","2.9","41","9.7","360","2020-04-08 12:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.2","...","1016.8","2020-04-09 08:21","1013.1","2020-04-09 15:32","21.1","25.6","2020-04-09 15:26","18.6","2020-04-09 02:19","...","86","45","2020-04-09 15:32","2.9","44","12.6","5","2020-04-09 12:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.3","...","1018.4","2020-04-10 09:03","1014.1","2020-04-10 15:52","21.7","25.7","2020-04-10 11:42","17.8","2020-04-10 05:51","...","89","60","2020-04-10 11:36","1.2","24","7.1","12","2020-04-10 13:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
