"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.4","...","1018.3","2012-02-01 09:17","1014.6","2012-02-01 15:32","15.9","18.9","2012-02-01 16:03","12.4","2012-02-01 06:21","...","87","75","2012-02-01 15:09","2.3","41","7.4","5","2012-02-01 11:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.4","...","1019.5","2012-02-02 09:01","1015.9","2012-02-02 14:36","15.8","20.2","2012-02-02 11:31","13.8","2012-02-02 23:05","...","80","64","2012-02-02 11:33","4.6","42","14.5","40","2012-02-02 13:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.6","...","1020.5","2012-02-03 09:46","1017.7","2012-02-03 00:01","14.1","15.3","2012-02-03 09:46","13.2","2012-02-03 03:01","...","86","75","2012-02-03 00:22","3.4","41","8.3","32","2012-02-03 10:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1016.7","...","1019.6","2012-02-04 09:51","1013.9","2012-02-04 14:17","16.5","23.3","2012-02-04 14:48","13.8","2012-02-04 00:20","...","89","67","2012-02-04 14:48","2.7","44","7.6","22","2012-02-04 15:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.5","...","1016.8","2012-02-05 07:57","1011.7","2012-02-05 23:46","17.6","24.1","2012-02-05 12:53","15.5","2012-02-05 00:33","...","93","60","2012-02-05 13:03","1.9","36","7.2","334","2012-02-05 13:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.9","...","1011.8","2012-02-06 00:01","1005.8","2012-02-06 15:31","19.8","25.7","2012-02-06 12:33","16.4","2012-02-06 02:46","...","91","65","2012-02-06 12:33","1.4","9","5.5","294","2012-02-06 13:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1011.6","...","1016.1","2012-02-07 23:18","1007.9","2012-02-07 05:01","14.7","22.7","2012-02-07 03:16","11.4","2012-02-07 21:31","...","88","76","2012-02-07 22:33","4.7","43","12.8","52","2012-02-07 11:20","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1017.1","...","1019.3","2012-02-08 20:52","1014.5","2012-02-08 02:31","11.2","12.6","2012-02-08 11:02","9.9","2012-02-08 21:46","...","86","75","2012-02-08 11:18","4.8","47","11.5","61","2012-02-08 00:50","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1016.8","...","1018.7","2012-02-09 00:01","1015.5","2012-02-09 14:34","13.3","16.6","2012-02-09 13:38","10.6","2012-02-09 00:02","...","84","73","2012-02-09 12:08","2.6","41","9.6","54","2012-02-09 01:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.9","...","1018.6","2012-02-10 09:46","1015.7","2012-02-10 04:01","14.6","16.4","2012-02-10 14:04","13.4","2012-02-10 06:36","...","98","93","2012-02-10 10:33","3.0","42","7.8","55","2012-02-10 18:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
