"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.1","...","1018.3","2014-01-01 08:17","1013.9","2014-01-01 15:02","16.9","21.7","2014-01-01 10:47","11.9","2014-01-01 06:16","...","75","47","2014-01-01 10:47","1.6","32","7.6","5","2014-01-01 14:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1014.4","...","1016.9","2014-01-02 08:48","1012.2","2014-01-02 14:18","18.6","23.6","2014-01-02 14:34","13.7","2014-01-02 06:31","...","81","62","2014-01-02 14:46","1.5","36","5.6","38","2014-01-02 15:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1012.5","...","1014.6","2014-01-03 09:03","1010.0","2014-01-03 14:17","20.5","26.3","2014-01-03 13:26","17.0","2014-01-03 03:52","...","80","51","2014-01-03 12:16","1.9","37","6.5","342","2014-01-03 13:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.6","...","1015.8","2014-01-04 21:58","1011.5","2014-01-04 04:46","18.0","21.1","2014-01-04 11:17","14.4","2014-01-04 23:54","...","66","49","2014-01-04 11:17","3.9","37","11.9","40","2014-01-04 15:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1015.5","...","1017.5","2014-01-05 08:16","1013.7","2014-01-05 13:02","16.3","21.1","2014-01-05 13:02","13.2","2014-01-05 23:47","...","59","40","2014-01-05 12:18","3.7","44","10.7","9","2014-01-05 13:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1015.9","...","1017.5","2014-01-06 08:38","1014.7","2014-01-06 12:49","16.1","20.5","2014-01-06 14:01","12.3","2014-01-06 04:18","...","73","50","2014-01-06 13:31","2.1","16","9.4","17","2014-01-06 15:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.9","...","1017.1","2014-01-07 09:04","1013.3","2014-01-07 15:31","18.2","24.5","2014-01-07 12:37","14.1","2014-01-07 04:51","...","79","42","2014-01-07 12:32","1.3","73","7.0","355","2014-01-07 13:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1015.4","...","1017.4","2014-01-08 23:46","1013.6","2014-01-08 14:35","19.1","25.3","2014-01-08 10:47","15.1","2014-01-08 23:36","...","71","43","2014-01-08 10:48","3.3","44","15.8","46","2014-01-08 21:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1019.8","...","1021.8","2014-01-09 21:35","1016.9","2014-01-09 00:09","14.2","16.4","2014-01-09 11:18","12.5","2014-01-09 23:03","...","72","64","2014-01-09 11:18","6.2","45","16.0","45","2014-01-09 15:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1021.3","...","1023.7","2014-01-10 08:48","1018.5","2014-01-10 14:49","15.9","19.5","2014-01-10 12:36","13.1","2014-01-10 00:33","...","75","62","2014-01-10 12:36","3.5","43","13.2","2","2014-01-10 15:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1021.0","...","1023.2","2014-01-11 08:55","1019.1","2014-01-11 14:58","16.8","21.3","2014-01-11 11:16","12.7","2014-01-11 06:31","...","85","60","2014-01-11 11:21","1.9","37","9.3","27","2014-01-11 15:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1020.5","...","1022.4","2014-01-12 09:43","1018.3","2014-01-12 15:01","17.5","20.4","2014-01-12 13:41","15.3","2014-01-12 21:07","...","83","72","2014-01-12 13:01","4.0","44","16.5","56","2014-01-12 18:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
