"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.3","...","1013.3","2012-12-01 11:06","1010.9","2012-12-01 15:31","20.7","22.3","2012-12-01 16:31","18.7","2012-12-01 01:19","...","100","99","2012-12-01 22:16","0.1","24","2.2","33","2012-12-01 07:16","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1011.5","...","1013.3","2012-12-02 08:32","1009.7","2012-12-02 13:46","19.9","22.0","2012-12-02 13:46","17.8","2012-12-02 23:49","...","98","92","2012-12-02 13:32","0.5","43","7.0","56","2012-12-02 15:42","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.6","...","1014.9","2012-12-03 08:54","1012.2","2012-12-03 03:34","19.5","23.0","2012-12-03 12:32","17.2","2012-12-03 23:46","...","90","74","2012-12-03 12:32","1.1","40","7.3","46","2012-12-03 20:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.3","...","1015.6","2012-12-04 08:46","1010.8","2012-12-04 14:46","19.6","23.3","2012-12-04 13:01","16.7","2012-12-04 07:06","...","79","61","2012-12-04 14:46","1.1","45","3.8","34","2012-12-04 00:20","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.5","...","1016.9","2012-12-05 09:01","1012.1","2012-12-05 04:31","17.8","19.9","2012-12-05 11:16","16.1","2012-12-05 21:07","...","98","86","2012-12-05 23:55","1.3","46","6.0","27","2012-12-05 12:51","26.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.5","...","1016.9","2012-12-06 22:10","1012.2","2012-12-06 14:02","17.7","21.8","2012-12-06 12:18","15.3","2012-12-06 07:35","...","72","55","2012-12-06 12:18","2.7","47","10.1","41","2012-12-06 02:55","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.9","...","1016.9","2012-12-07 09:01","1012.5","2012-12-07 14:16","19.3","22.8","2012-12-07 14:01","16.2","2012-12-07 00:01","...","91","65","2012-12-07 11:41","1.1","39","5.6","1","2012-12-07 12:20","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1012.7","...","1014.4","2012-12-08 08:46","1010.9","2012-12-08 14:47","18.3","20.2","2012-12-08 12:34","16.6","2012-12-08 23:59","...","100","96","2012-12-08 04:18","1.7","36","7.0","35","2012-12-08 18:15","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1012.6","...","1014.0","2012-12-09 08:46","1011.1","2012-12-09 13:33","16.4","18.1","2012-12-09 14:16","15.1","2012-12-09 23:19","...","94","83","2012-12-09 17:01","2.9","41","9.4","49","2012-12-09 16:44","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1013.4","...","1015.3","2012-12-10 22:16","1011.9","2012-12-10 02:31","17.2","20.9","2012-12-10 12:54","14.8","2012-12-10 02:31","...","81","64","2012-12-10 12:54","1.1","41","4.8","7","2012-12-10 16:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1015.1","...","1016.8","2012-12-11 22:34","1013.6","2012-12-11 02:43","17.3","20.0","2012-12-11 13:16","15.9","2012-12-11 04:01","...","94","82","2012-12-11 13:08","3.1","40","8.4","35","2012-12-11 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1016.7","...","1018.4","2012-12-12 09:18","1014.7","2012-12-12 13:20","18.6","22.8","2012-12-12 12:32","16.0","2012-12-12 06:39","...","86","63","2012-12-12 12:32","2.5","40","6.0","1","2012-12-12 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1017.6","...","1019.6","2012-12-13 09:13","1015.5","2012-12-13 14:46","19.4","23.0","2012-12-13 10:35","15.5","2012-12-13 04:04","...","93","67","2012-12-13 14:50","1.3","43","4.8","307","2012-12-13 12:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1016.5","...","1018.8","2012-12-14 08:47","1014.7","2012-12-14 14:35","21.1","27.7","2012-12-14 11:31","17.4","2012-12-14 03:31","...","87","47","2012-12-14 11:37","1.2","7","7.2","303","2012-12-14 12:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1013.6","...","1015.7","2012-12-15 09:06","1011.6","2012-12-15 14:20","22.8","27.7","2012-12-15 12:49","17.5","2012-12-15 04:46","...","83","61","2012-12-15 12:49","0.8","275","5.0","300","2012-12-15 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1013.4","...","1015.5","2012-12-16 09:01","1012.1","2012-12-16 15:31","21.5","28.0","2012-12-16 11:32","18.9","2012-12-16 23:31","...","96","62","2012-12-16 11:35","1.8","46","7.9","57","2012-12-16 23:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
