"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.2","...","1023.2","2020-02-01 08:33","1018.8","2020-02-01 15:13","13.4","19.2","2020-02-01 13:31","8.0","2020-02-01 06:44","...","73","36","2020-02-01 12:01","1.9","47","9.4","15","2020-02-01 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1021.4","...","1024.1","2020-02-02 09:33","1019.5","2020-02-02 14:42","15.5","20.6","2020-02-02 11:54","9.7","2020-02-02 06:01","...","82","40","2020-02-02 11:41","1.4","51","7.6","351","2020-02-02 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1019.9","...","1021.5","2020-02-03 09:58","1018.4","2020-02-03 14:11","17.1","20.5","2020-02-03 11:51","14.5","2020-02-03 06:51","...","94","72","2020-02-03 11:44","2.9","42","12.0","54","2020-02-03 12:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.8","...","1020.7","2020-02-04 09:33","1017.1","2020-02-04 17:43","16.5","17.0","2020-02-04 12:51","15.9","2020-02-04 19:11","...","100","99","2020-02-04 03:01","2.9","38","8.6","51","2020-02-04 23:24","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1018.9","...","1020.3","2020-02-05 09:24","1016.6","2020-02-05 14:52","16.6","20.0","2020-02-05 13:01","14.9","2020-02-05 23:31","...","91","73","2020-02-05 13:11","4.6","46","13.8","71","2020-02-05 10:49","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1018.0","...","1020.0","2020-02-06 00:01","1015.3","2020-02-06 13:41","17.4","23.8","2020-02-06 14:02","13.2","2020-02-06 06:31","...","94","67","2020-02-06 13:53","2.1","49","10.2","12","2020-02-06 16:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1019.8","...","1021.7","2020-02-07 09:04","1018.4","2020-02-07 14:53","16.4","20.0","2020-02-07 11:42","14.5","2020-02-07 05:31","...","100","98","2020-02-07 11:42","4.8","46","14.6","53","2020-02-07 15:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1021.4","...","1023.4","2020-02-08 22:11","1019.5","2020-02-08 14:56","16.0","18.8","2020-02-08 12:03","14.7","2020-02-08 06:41","...","87","68","2020-02-08 10:23","5.1","45","15.5","65","2020-02-08 07:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1022.7","...","1025.1","2020-02-09 10:02","1020.9","2020-02-09 15:01","15.3","17.7","2020-02-09 14:53","13.3","2020-02-09 23:53","...","81","70","2020-02-09 15:41","4.2","44","11.3","37","2020-02-09 16:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1021.0","...","1022.8","2020-02-10 09:16","1019.4","2020-02-10 14:24","16.6","21.3","2020-02-10 11:43","12.3","2020-02-10 04:34","...","86","60","2020-02-10 16:55","1.3","44","7.4","6","2020-02-10 14:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1020.4","...","1022.6","2020-02-11 09:02","1018.1","2020-02-11 17:31","17.8","20.3","2020-02-11 15:46","16.1","2020-02-11 02:41","...","100","100","2020-02-11 00:01","0.9","32","6.7","49","2020-02-11 08:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1017.0","...","1019.4","2020-02-12 00:11","1014.4","2020-02-12 15:21","21.0","26.5","2020-02-12 11:31","16.2","2020-02-12 06:36","...","79","43","2020-02-12 11:31","0.7","7","6.7","192","2020-02-12 08:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1014.6","...","1016.5","2020-02-13 00:01","1011.9","2020-02-13 13:24","22.0","27.6","2020-02-13 12:22","18.5","2020-02-13 06:31","...","90","62","2020-02-13 12:34","1.2","2","9.4","195","2020-02-13 22:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1014.1","...","1016.3","2020-02-14 22:01","1012.1","2020-02-14 12:11","21.3","27.5","2020-02-14 11:44","18.7","2020-02-14 06:31","...","95","59","2020-02-14 11:48","1.5","38","9.5","300","2020-02-14 12:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1013.4","...","...","...","...","...","22.7","...","...","...","...","...","97","...","...","0.9","22","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1017.1","...","1021.7","2020-02-16 23:22","1013.1","2020-02-16 00:01","15.0","23.3","2020-02-16 00:21","10.9","2020-02-16 19:42","...","98","70","2020-02-16 23:54","5.6","48","17.0","58","2020-02-16 15:33","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1023.1","...","1025.4","2020-02-17 20:04","1020.0","2020-02-17 03:14","12.2","14.5","2020-02-17 12:01","10.5","2020-02-17 03:16","...","56","15","2020-02-17 22:54","6.2","47","16.6","55","2020-02-17 10:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1023.6","...","1025.9","2020-02-18 09:04","1021.3","2020-02-18 15:01","13.6","18.8","2020-02-18 13:01","10.1","2020-02-18 03:32","...","52","17","2020-02-18 00:02","4.2","47","11.3","43","2020-02-18 02:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1023.1","...","1024.2","2020-02-19 07:01","1021.6","2020-02-19 14:12","15.0","19.9","2020-02-19 13:35","10.6","2020-02-19 06:23","...","84","51","2020-02-19 10:32","1.5","5","9.0","360","2020-02-19 16:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1023.5","...","1025.3","2020-02-20 09:31","1022.0","2020-02-20 03:33","17.2","21.0","2020-02-20 12:31","14.2","2020-02-20 00:08","...","98","73","2020-02-20 11:21","2.2","50","11.0","17","2020-02-20 14:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1025.1","...","1027.0","2020-02-21 09:35","1023.7","2020-02-21 14:51","17.3","20.4","2020-02-21 10:42","15.5","2020-02-21 23:51","...","100","99","2020-02-21 02:12","1.8","28","8.8","14","2020-02-21 11:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
