"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.0","...","1007.1","2017-07-01 22:01","1004.3","2017-07-01 15:41","28.6","33.1","2017-07-01 11:11","25.6","2017-07-01 15:11","...","88","62","2017-07-01 11:34","2.1","247","14.1","249","2017-07-01 17:15","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1006.2","...","1008.0","2017-07-02 21:31","1004.3","2017-07-02 14:33","28.5","33.1","2017-07-02 10:34","25.1","2017-07-02 23:13","...","86","61","2017-07-02 10:45","2.2","152","9.0","297","2017-07-02 12:04","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.2","...","1008.6","2017-07-03 21:31","1004.2","2017-07-03 15:33","28.8","32.9","2017-07-03 12:05","25.1","2017-07-03 00:16","...","84","64","2017-07-03 10:08","2.6","169","9.4","285","2017-07-03 14:22","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.9","...","1009.4","2017-07-04 18:22","1005.9","2017-07-04 04:11","28.5","33.1","2017-07-04 10:36","25.7","2017-07-04 21:13","...","88","61","2017-07-04 10:22","2.0","176","8.6","95","2017-07-04 18:48","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.1","...","1010.6","2017-07-05 21:44","1007.1","2017-07-05 17:32","29.6","33.2","2017-07-05 13:02","25.4","2017-07-05 04:39","...","82","57","2017-07-05 11:21","1.9","24","7.5","301","2017-07-05 13:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.7","...","1010.2","2017-07-06 00:32","1006.8","2017-07-06 16:51","29.0","33.4","2017-07-06 12:35","25.8","2017-07-06 22:13","...","88","64","2017-07-06 12:47","2.0","89","7.8","193","2017-07-06 19:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.2","...","1011.9","2017-07-07 22:22","1007.5","2017-07-07 13:32","27.8","33.0","2017-07-07 10:44","25.0","2017-07-07 14:12","...","87","57","2017-07-07 10:44","2.2","168","12.4","153","2017-07-07 13:59","16.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1009.4","...","1010.9","2017-07-08 00:01","1007.8","2017-07-08 14:31","28.4","32.4","2017-07-08 10:31","26.0","2017-07-08 21:27","...","84","63","2017-07-08 09:01","2.1","191","7.8","292","2017-07-08 13:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.4","...","1010.3","2017-07-09 00:01","1006.4","2017-07-09 17:31","29.5","32.5","2017-07-09 12:24","26.6","2017-07-09 03:06","...","83","68","2017-07-09 10:39","2.2","160","7.7","304","2017-07-09 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.9","...","1008.6","2017-07-10 22:24","1005.5","2017-07-10 15:51","30.0","33.6","2017-07-10 12:54","27.6","2017-07-10 04:31","...","84","56","2017-07-10 10:52","3.3","177","10.9","297","2017-07-10 13:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1008.7","...","1011.3","2017-07-11 21:51","1007.1","2017-07-11 02:42","30.1","33.1","2017-07-11 09:43","27.1","2017-07-11 05:08","...","81","61","2017-07-11 09:01","2.6","159","10.3","276","2017-07-11 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1009.7","...","1010.8","2017-07-12 11:08","1008.3","2017-07-12 17:14","30.1","33.5","2017-07-12 13:01","27.3","2017-07-12 05:21","...","77","59","2017-07-12 10:07","2.2","165","9.2","299","2017-07-12 13:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
