"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.7","...","1016.3","2016-11-01 09:14","1013.0","2016-11-01 15:01","23.3","26.1","2016-11-01 13:22","20.8","2016-11-01 23:56","...","70","54","2016-11-01 14:24","5.7","46","17.0","30","2016-11-01 09:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1015.2","...","1017.0","2016-11-02 08:31","1013.6","2016-11-02 14:03","21.6","24.8","2016-11-02 11:31","20.0","2016-11-02 06:31","...","67","56","2016-11-02 11:03","5.2","47","16.3","35","2016-11-02 16:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.5","...","1015.8","2016-11-03 08:34","1011.6","2016-11-03 16:27","22.1","26.1","2016-11-03 13:44","20.2","2016-11-03 00:13","...","68","55","2016-11-03 13:13","3.8","40","11.4","44","2016-11-03 08:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1010.6","...","1012.9","2016-11-04 09:09","1008.4","2016-11-04 14:54","23.4","27.9","2016-11-04 10:50","19.7","2016-11-04 05:03","...","76","55","2016-11-04 10:48","1.8","29","7.4","26","2016-11-04 16:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.8","...","1011.3","2016-11-05 08:32","1008.2","2016-11-05 13:52","24.1","27.3","2016-11-05 13:02","21.1","2016-11-05 06:12","...","81","62","2016-11-05 09:48","1.7","20","8.2","2","2016-11-05 14:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1012.2","...","1014.5","2016-11-06 09:11","1010.3","2016-11-06 00:21","24.6","28.8","2016-11-06 12:21","21.2","2016-11-06 06:01","...","78","52","2016-11-06 10:55","1.5","42","7.6","347","2016-11-06 13:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.0","...","1015.7","2016-11-07 09:01","1012.2","2016-11-07 14:33","25.4","30.3","2016-11-07 10:54","22.9","2016-11-07 05:59","...","81","50","2016-11-07 12:35","1.9","214","7.1","288","2016-11-07 11:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1014.5","...","1016.4","2016-11-08 20:41","1012.5","2016-11-08 14:38","23.7","27.9","2016-11-08 10:03","20.0","2016-11-08 23:51","...","80","60","2016-11-08 10:11","4.1","42","15.2","79","2016-11-08 16:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.0","...","1017.0","2016-11-09 08:41","1012.6","2016-11-09 14:22","21.0","24.4","2016-11-09 14:11","19.1","2016-11-09 06:47","...","69","54","2016-11-09 14:36","5.5","45","16.4","56","2016-11-09 11:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.8","...","1018.2","2016-11-10 09:11","1014.4","2016-11-10 02:34","20.2","22.4","2016-11-10 15:53","18.6","2016-11-10 05:01","...","86","72","2016-11-10 00:32","3.5","40","11.6","41","2016-11-10 13:46","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1015.2","...","1017.2","2016-11-11 09:21","1013.2","2016-11-11 14:54","21.6","25.4","2016-11-11 15:41","18.9","2016-11-11 02:53","...","81","64","2016-11-11 15:41","2.2","47","8.6","66","2016-11-11 04:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1015.6","...","1017.4","2016-11-12 09:04","1014.3","2016-11-12 16:02","23.8","29.0","2016-11-12 11:12","22.0","2016-11-12 23:24","...","85","57","2016-11-12 11:12","1.7","27","7.5","354","2016-11-12 11:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1014.5","...","1016.5","2016-11-13 08:42","1012.4","2016-11-13 15:11","23.9","27.8","2016-11-13 11:22","20.7","2016-11-13 06:11","...","89","70","2016-11-13 11:22","1.9","53","6.9","314","2016-11-13 11:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1012.7","...","1014.6","2016-11-14 08:12","1010.8","2016-11-14 15:01","24.2","28.3","2016-11-14 10:12","21.7","2016-11-14 05:01","...","90","68","2016-11-14 10:12","1.4","36","6.3","300","2016-11-14 13:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1013.0","...","1014.6","2016-11-15 09:12","1010.9","2016-11-15 13:51","24.2","28.1","2016-11-15 11:52","22.0","2016-11-15 06:38","...","87","68","2016-11-15 10:38","3.1","15","12.8","15","2016-11-15 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1014.1","...","1015.9","2016-11-16 08:51","1012.8","2016-11-16 15:51","23.9","27.7","2016-11-16 11:41","22.2","2016-11-16 01:31","...","82","65","2016-11-16 10:31","2.6","26","9.4","12","2016-11-16 15:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1013.8","...","1015.7","2016-11-17 09:07","1012.1","2016-11-17 14:41","24.2","27.9","2016-11-17 12:51","21.0","2016-11-17 06:21","...","86","66","2016-11-17 12:23","1.7","16","7.8","4","2016-11-17 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1012.0","...","1013.4","2016-11-18 00:01","1010.6","2016-11-18 14:21","24.5","27.7","2016-11-18 13:43","22.3","2016-11-18 06:53","...","91","76","2016-11-18 13:43","1.4","48","5.7","302","2016-11-18 14:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1011.4","...","1013.2","2016-11-19 08:45","1009.7","2016-11-19 15:32","25.2","29.3","2016-11-19 12:06","22.0","2016-11-19 05:12","...","85","54","2016-11-19 12:05","1.3","37","8.1","15","2016-11-19 15:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1011.1","...","1013.7","2016-11-20 09:39","1008.6","2016-11-20 14:11","25.2","29.8","2016-11-20 09:52","23.0","2016-11-20 23:54","...","80","49","2016-11-20 09:45","3.6","40","13.3","8","2016-11-20 11:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1011.2","...","1014.0","2016-11-21 09:51","1009.4","2016-11-21 13:23","23.2","25.1","2016-11-21 13:51","20.8","2016-11-21 10:32","...","91","73","2016-11-21 06:11","2.8","41","13.1","60","2016-11-21 06:01","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1011.3","...","1012.7","2016-11-22 08:11","1009.0","2016-11-22 00:23","23.3","25.2","2016-11-22 13:01","21.7","2016-11-22 23:57","...","92","85","2016-11-22 11:33","3.0","39","11.0","42","2016-11-22 23:26","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1013.7","...","1016.0","2016-11-23 22:15","1011.8","2016-11-23 00:12","20.3","21.9","2016-11-23 01:12","19.1","2016-11-23 23:53","...","96","87","2016-11-23 23:07","4.3","47","13.5","44","2016-11-23 20:31","32.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1014.2","...","1015.7","2016-11-24 00:09","1012.2","2016-11-24 13:54","19.9","22.7","2016-11-24 12:12","17.8","2016-11-24 05:42","...","80","70","2016-11-24 12:21","4.9","45","15.3","49","2016-11-24 01:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1012.7","...","1015.0","2016-11-25 09:04","1010.2","2016-11-25 14:15","22.4","25.9","2016-11-25 12:41","19.0","2016-11-25 03:31","...","84","69","2016-11-25 11:18","2.3","46","9.4","37","2016-11-25 02:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1012.3","...","1014.3","2016-11-26 21:41","1010.0","2016-11-26 04:22","22.5","26.2","2016-11-26 09:22","20.2","2016-11-26 23:51","...","88","71","2016-11-26 09:22","3.1","50","13.7","43","2016-11-26 23:40","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1012.8","...","1014.3","2016-11-27 10:31","1011.1","2016-11-27 03:33","19.5","21.4","2016-11-27 11:58","18.3","2016-11-27 16:28","...","86","74","2016-11-27 03:42","4.8","45","15.2","39","2016-11-27 06:02","13.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1015.8","...","1018.2","2016-11-28 22:54","1012.8","2016-11-28 00:01","19.8","23.3","2016-11-28 14:01","18.0","2016-11-28 06:02","...","67","55","2016-11-28 14:33","4.3","40","13.1","32","2016-11-28 00:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
