"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.5","...","1020.2","2016-02-01 08:44","1016.2","2016-02-01 13:44","15.8","18.5","2016-02-01 00:08","13.4","2016-02-01 19:55","...","87","77","2016-02-01 13:33","6.0","45","19.1","52","2016-02-01 17:29","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1019.7","...","1021.8","2016-02-02 09:52","1018.1","2016-02-02 15:02","14.6","16.3","2016-02-02 12:54","13.2","2016-02-02 06:04","...","83","77","2016-02-02 13:35","4.5","43","15.4","45","2016-02-02 06:56","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1020.0","...","1020.9","2016-02-03 09:34","1018.6","2016-02-03 14:32","16.1","18.1","2016-02-03 11:43","14.8","2016-02-03 00:05","...","85","78","2016-02-03 10:51","3.6","42","12.2","43","2016-02-03 12:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.4","...","1021.1","2016-02-04 09:01","1016.2","2016-02-04 14:21","17.2","18.0","2016-02-04 08:22","16.3","2016-02-04 00:22","...","92","88","2016-02-04 00:01","3.3","46","11.0","46","2016-02-04 09:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.7","...","1019.3","2016-02-05 06:53","1013.2","2016-02-05 15:41","16.1","18.4","2016-02-05 13:42","14.3","2016-02-05 17:51","...","85","74","2016-02-05 13:35","5.3","38","18.2","32","2016-02-05 17:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1020.3","...","1023.6","2016-02-06 21:21","1016.8","2016-02-06 00:22","13.7","15.8","2016-02-06 00:08","11.7","2016-02-06 22:01","...","56","42","2016-02-06 13:43","7.1","43","21.4","55","2016-02-06 10:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1022.3","...","1024.1","2016-02-07 22:52","1020.2","2016-02-07 14:04","13.5","17.1","2016-02-07 12:19","10.9","2016-02-07 07:01","...","51","40","2016-02-07 22:11","4.2","38","13.7","19","2016-02-07 14:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1021.4","...","1023.9","2016-02-08 10:03","1019.3","2016-02-08 14:47","15.9","19.4","2016-02-08 13:11","11.3","2016-02-08 00:13","...","41","17","2016-02-08 04:10","2.6","43","9.4","21","2016-02-08 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1019.6","...","1022.1","2016-02-09 09:20","1018.1","2016-02-09 23:01","15.6","20.4","2016-02-09 10:13","11.2","2016-02-09 06:11","...","75","48","2016-02-09 11:58","1.4","49","6.7","14","2016-02-09 15:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.3","...","1019.2","2016-02-10 09:41","1014.3","2016-02-10 15:48","17.5","21.4","2016-02-10 11:58","12.5","2016-02-10 06:01","...","76","55","2016-02-10 11:23","1.1","22","5.7","11","2016-02-10 12:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1014.1","...","1016.1","2016-02-11 05:34","1012.0","2016-02-11 13:36","19.6","23.6","2016-02-11 12:32","16.5","2016-02-11 06:41","...","86","63","2016-02-11 12:34","2.6","32","9.0","125","2016-02-11 20:07","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1012.2","...","1015.1","2016-02-12 09:23","1010.1","2016-02-12 15:21","24.3","30.1","2016-02-12 16:31","19.7","2016-02-12 07:16","...","85","62","2016-02-12 17:04","1.5","10","9.0","301","2016-02-12 18:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1011.3","...","1013.2","2016-02-13 07:51","1009.3","2016-02-13 13:42","26.8","32.5","2016-02-13 12:52","22.6","2016-02-13 06:55","...","67","32","2016-02-13 12:43","3.2","177","13.5","242","2016-02-13 13:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1013.7","...","1019.5","2016-02-14 23:13","1010.5","2016-02-14 04:41","20.4","27.9","2016-02-14 10:48","12.4","2016-02-14 23:54","...","82","63","2016-02-14 10:47","4.1","42","18.4","42","2016-02-14 23:34","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1020.8","...","1022.8","2016-02-15 23:17","1018.4","2016-02-15 01:01","13.1","15.2","2016-02-15 12:21","11.1","2016-02-15 06:12","...","74","62","2016-02-15 23:53","5.0","43","17.7","47","2016-02-15 02:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
