"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.9","...","1003.4","2017-06-01 09:42","1000.1","2017-06-01 17:13","27.4","30.3","2017-06-01 13:29","25.9","2017-06-01 10:51","...","97","82","2017-06-01 13:32","3.5","188","11.4","228","2017-06-01 21:21","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1001.4","...","1004.8","2017-06-02 21:22","999.9","2017-06-02 02:23","27.0","29.3","2017-06-02 11:21","23.7","2017-06-02 21:41","...","99","97","2017-06-02 11:41","4.8","231","16.2","247","2017-06-02 10:48","20.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1001.9","...","1003.6","2017-06-03 08:51","1000.2","2017-06-03 17:23","26.0","29.1","2017-06-03 12:31","24.0","2017-06-03 03:02","...","99","96","2017-06-03 02:01","3.1","171","11.6","257","2017-06-03 12:18","66.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1004.1","...","1006.4","2017-06-04 22:25","1002.1","2017-06-04 01:06","26.5","29.3","2017-06-04 14:44","24.6","2017-06-04 18:17","...","98","88","2017-06-04 14:51","2.1","180","10.1","178","2017-06-04 17:42","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.7","...","1008.7","2017-06-05 22:53","1005.3","2017-06-05 02:11","27.1","30.4","2017-06-05 13:33","24.5","2017-06-05 04:32","...","98","87","2017-06-05 13:25","1.3","5","6.4","263","2017-06-05 09:09","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.4","...","1009.4","2017-06-06 07:34","1006.8","2017-06-06 15:44","28.8","32.4","2017-06-06 11:53","25.8","2017-06-06 04:06","...","90","75","2017-06-06 13:21","2.2","287","9.2","247","2017-06-06 13:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1008.7","...","1010.2","2017-06-07 07:13","1006.7","2017-06-07 14:52","29.0","31.9","2017-06-07 10:21","26.4","2017-06-07 00:31","...","93","75","2017-06-07 10:12","2.2","42","8.6","306","2017-06-07 13:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1008.9","...","1010.3","2017-06-08 09:06","1007.1","2017-06-08 15:45","28.8","31.9","2017-06-08 09:34","26.6","2017-06-08 04:42","...","91","67","2017-06-08 14:31","1.8","10","6.6","327","2017-06-08 13:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.2","...","1009.1","2017-06-09 00:01","1006.7","2017-06-09 16:24","29.0","33.1","2017-06-09 12:07","26.2","2017-06-09 04:03","...","89","70","2017-06-09 12:08","1.3","161","6.3","290","2017-06-09 12:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.9","...","1008.9","2017-06-10 00:01","1005.3","2017-06-10 16:11","29.5","31.8","2017-06-10 14:25","26.8","2017-06-10 05:44","...","92","80","2017-06-10 08:31","2.6","291","10.0","242","2017-06-10 16:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
