"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.6","...","1015.3","2013-03-01 23:20","1010.0","2013-03-01 14:32","20.9","28.1","2013-03-01 13:02","16.4","2013-03-01 23:31","...","87","59","2013-03-01 13:02","1.4","36","7.5","35","2013-03-01 23:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.7","...","1020.1","2013-03-02 22:57","1014.6","2013-03-02 01:16","13.9","16.8","2013-03-02 00:06","12.6","2013-03-02 19:54","...","83","75","2013-03-02 11:20","4.5","40","12.4","70","2013-03-02 10:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1019.2","...","1021.3","2013-03-03 10:32","1017.8","2013-03-03 13:48","12.6","13.9","2013-03-03 13:31","11.5","2013-03-03 23:19","...","78","74","2013-03-03 15:50","4.1","45","9.3","28","2013-03-03 15:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1018.9","...","1020.4","2013-03-04 09:20","1017.4","2013-03-04 15:02","15.0","17.8","2013-03-04 15:34","11.6","2013-03-04 00:02","...","56","37","2013-03-04 03:50","3.6","42","9.0","50","2013-03-04 13:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1019.1","...","1021.0","2013-03-05 10:16","1017.7","2013-03-05 14:46","18.3","23.4","2013-03-05 13:32","12.3","2013-03-05 05:31","...","65","44","2013-03-05 17:38","1.4","300","5.5","286","2013-03-05 13:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1018.1","...","1020.4","2013-03-06 08:47","1016.2","2013-03-06 15:16","18.2","21.3","2013-03-06 11:01","14.6","2013-03-06 04:23","...","80","67","2013-03-06 11:01","1.4","5","5.7","315","2013-03-06 12:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1016.4","...","1018.4","2013-03-07 07:34","1014.1","2013-03-07 15:32","19.1","24.0","2013-03-07 15:52","15.1","2013-03-07 06:27","...","70","33","2013-03-07 15:46","1.5","18","6.0","353","2013-03-07 12:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1014.3","...","1016.6","2013-03-08 08:51","1012.1","2013-03-08 15:18","20.5","25.4","2013-03-08 11:38","14.6","2013-03-08 06:16","...","58","33","2013-03-08 11:38","1.9","165","6.7","299","2013-03-08 13:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1012.6","...","1014.3","2013-03-09 08:46","1010.5","2013-03-09 15:08","21.8","25.2","2013-03-09 10:16","17.9","2013-03-09 04:50","...","68","54","2013-03-09 10:03","1.6","167","6.9","309","2013-03-09 13:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1012.6","...","1015.0","2013-03-10 23:16","1010.5","2013-03-10 14:46","22.0","26.1","2013-03-10 12:47","18.4","2013-03-10 23:46","...","79","59","2013-03-10 10:52","1.4","15","6.4","7","2013-03-10 18:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1014.1","...","1016.2","2013-03-11 09:03","1012.4","2013-03-11 15:33","18.3","21.5","2013-03-11 12:46","16.1","2013-03-11 23:46","...","82","71","2013-03-11 11:19","2.0","33","9.6","19","2013-03-11 11:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1012.6","...","1015.5","2013-03-12 09:31","1010.0","2013-03-12 17:06","20.4","24.3","2013-03-12 14:29","16.2","2013-03-12 01:04","...","84","73","2013-03-12 22:46","1.1","12","4.9","327","2013-03-12 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1011.8","...","1014.6","2013-03-13 23:54","1010.3","2013-03-13 03:01","22.8","26.8","2013-03-13 10:22","16.0","2013-03-13 23:54","...","84","65","2013-03-13 10:16","1.3","41","11.3","46","2013-03-13 23:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1016.4","...","1019.0","2013-03-14 23:31","1013.8","2013-03-14 03:19","16.4","19.1","2013-03-14 12:16","14.8","2013-03-14 02:20","...","75","66","2013-03-14 12:24","2.1","41","11.7","35","2013-03-14 08:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1018.1","...","1020.3","2013-03-15 10:25","1016.3","2013-03-15 15:31","17.2","20.0","2013-03-15 15:17","15.8","2013-03-15 04:17","...","83","73","2013-03-15 00:49","1.0","40","7.5","52","2013-03-15 12:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1016.4","...","1018.7","2013-03-16 08:20","1014.3","2013-03-16 16:46","19.9","23.3","2013-03-16 10:38","16.5","2013-03-16 00:16","...","90","73","2013-03-16 10:32","0.4","12","6.6","349","2013-03-16 11:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1010.9","...","1015.0","2013-03-17 00:01","1007.4","2013-03-17 15:31","21.9","25.1","2013-03-17 10:37","18.2","2013-03-17 03:01","...","86","67","2013-03-17 10:46","0.7","300","4.8","283","2013-03-17 11:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1007.7","...","1008.9","2013-03-18 21:31","1006.2","2013-03-18 14:34","24.0","26.3","2013-03-18 11:36","21.7","2013-03-18 05:22","...","89","74","2013-03-18 15:56","0.6","232","6.5","240","2013-03-18 14:53","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1009.1","...","1011.4","2013-03-19 21:46","1007.0","2013-03-19 15:51","24.2","26.7","2013-03-19 13:48","22.3","2013-03-19 06:01","...","92","78","2013-03-19 15:32","0.5","229","6.8","242","2013-03-19 16:02","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1010.0","...","1012.4","2013-03-20 20:46","1005.9","2013-03-20 04:01","24.3","26.6","2013-03-20 16:50","20.0","2013-03-20 23:58","...","92","75","2013-03-20 17:21","0.5","35","5.1","5","2013-03-20 23:07","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1011.7","...","1014.1","2013-03-21 10:09","1010.2","2013-03-21 04:00","19.5","22.6","2013-03-21 15:01","17.4","2013-03-21 06:49","...","91","81","2013-03-21 11:31","0.7","37","6.8","56","2013-03-21 02:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1010.5","...","1012.8","2013-03-22 09:01","1008.7","2013-03-22 17:31","23.0","27.7","2013-03-22 15:05","19.0","2013-03-22 04:01","...","91","71","2013-03-22 15:17","0.6","299","5.2","297","2013-03-22 13:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1009.0","...","1011.1","2013-03-23 08:01","1006.2","2013-03-23 18:31","23.7","27.1","2013-03-23 09:32","21.7","2013-03-23 21:46","...","91","75","2013-03-23 09:19","0.4","17","4.9","4","2013-03-23 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1007.7","...","1011.1","2013-03-24 08:21","1004.3","2013-03-24 03:01","23.3","26.3","2013-03-24 13:34","20.2","2013-03-24 08:27","...","95","80","2013-03-24 13:34","0.0","0","2.6","309","2013-03-24 13:28","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1010.2","...","1012.4","2013-03-25 21:31","1008.6","2013-03-25 02:54","19.7","23.5","2013-03-25 12:01","16.9","2013-03-25 04:04","...","80","66","2013-03-25 14:16","1.3","41","10.2","44","2013-03-25 02:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1010.4","...","1013.0","2013-03-26 21:16","1008.6","2013-03-26 16:16","19.5","23.1","2013-03-26 12:46","16.3","2013-03-26 19:01","...","91","78","2013-03-26 07:31","0.2","20","4.0","5","2013-03-26 09:05","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1010.2","...","1011.9","2013-03-27 00:01","1006.8","2013-03-27 02:32","20.5","23.4","2013-03-27 13:04","18.4","2013-03-27 01:01","...","90","78","2013-03-27 13:47","0.2","26","4.1","13","2013-03-27 11:45","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1010.5","...","1013.3","2013-03-28 23:16","1007.5","2013-03-28 14:31","21.6","25.4","2013-03-28 14:31","18.3","2013-03-28 02:16","...","88","70","2013-03-28 10:33","0.1","23","4.5","42","2013-03-28 11:21","19.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1010.9","...","1013.4","2013-03-29 21:31","1007.5","2013-03-29 03:01","20.7","23.0","2013-03-29 13:31","17.4","2013-03-29 23:46","...","90","78","2013-03-29 02:46","0.0","0","0.3","49","2013-03-29 13:40","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1011.0","...","1013.1","2013-03-30 23:01","1008.7","2013-03-30 13:46","19.8","23.8","2013-03-30 13:31","16.9","2013-03-30 03:01","...","90","76","2013-03-30 13:01","0.0","0","0.6","30","2013-03-30 08:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1012.2","...","1014.3","2013-03-31 09:01","1010.9","2013-03-31 14:13","20.2","22.7","2013-03-31 14:31","18.4","2013-03-31 06:16","...","95","83","2013-03-31 14:55","0.0","0","0.9","46","2013-03-31 14:57","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
