"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1006.8","...","1007.8","2019-06-01 00:01","1004.9","2019-06-01 15:16","27.8","31.2","2019-06-01 12:11","24.8","2019-06-01 07:21","...","99","88","2019-06-01 13:44","2.2","196","9.2","195","2019-06-01 22:58","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1006.3","...","1008.3","2019-06-02 22:14","1004.3","2019-06-02 16:01","28.3","32.1","2019-06-02 15:11","24.3","2019-06-02 03:51","...","97","83","2019-06-02 14:36","3.1","185","11.1","205","2019-06-02 07:15","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.9","...","1008.1","2019-06-03 11:15","1005.9","2019-06-03 02:49","28.8","31.2","2019-06-03 16:11","27.0","2019-06-03 05:32","...","94","73","2019-06-03 16:11","2.3","189","9.2","249","2019-06-03 11:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1008.2","...","1010.2","2019-06-04 10:23","1006.4","2019-06-04 02:21","27.0","29.5","2019-06-04 09:51","24.1","2019-06-04 13:48","...","98","89","2019-06-04 04:21","1.5","183","11.3","187","2019-06-04 11:32","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.4","...","1011.3","2019-06-05 22:11","1008.0","2019-06-05 01:41","28.4","32.4","2019-06-05 10:16","25.0","2019-06-05 02:51","...","97","76","2019-06-05 10:13","1.2","155","7.3","314","2019-06-05 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1009.8","...","1011.5","2019-06-06 10:23","1008.3","2019-06-06 03:31","29.1","32.4","2019-06-06 13:06","26.7","2019-06-06 04:08","...","97","71","2019-06-06 16:51","2.4","184","9.3","263","2019-06-06 11:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.4","...","1011.1","2019-06-07 07:33","1008.3","2019-06-07 15:38","29.2","32.5","2019-06-07 11:33","27.2","2019-06-07 05:44","...","97","82","2019-06-07 19:52","2.5","188","10.4","287","2019-06-07 12:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.4","...","1009.6","2019-06-08 09:01","1005.0","2019-06-08 23:58","28.8","32.0","2019-06-08 16:21","26.8","2019-06-08 01:32","...","98","85","2019-06-08 15:54","2.5","190","9.5","261","2019-06-08 13:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.2","...","1007.2","2019-06-09 10:11","1003.4","2019-06-09 17:11","29.5","32.6","2019-06-09 13:51","27.0","2019-06-09 05:07","...","95","78","2019-06-09 14:02","2.7","193","10.5","235","2019-06-09 14:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1003.4","...","1005.2","2019-06-10 11:52","1002.4","2019-06-10 03:25","27.4","31.3","2019-06-10 09:51","23.6","2019-06-10 12:03","...","99","89","2019-06-10 09:53","2.1","190","11.8","232","2019-06-10 11:53","31.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.7","...","1006.1","2019-06-11 22:01","1000.8","2019-06-11 04:25","25.9","27.9","2019-06-11 12:51","24.3","2019-06-11 08:15","...","100","99","2019-06-11 07:36","1.4","187","16.0","198","2019-06-11 09:04","62.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1005.3","...","1006.5","2019-06-12 09:01","1004.3","2019-06-12 02:06","24.1","24.8","2019-06-12 00:01","23.2","2019-06-12 22:41","...","100","100","2019-06-12 00:01","0.4","5","5.4","352","2019-06-12 19:50","54.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1002.4","...","1004.9","2019-06-13 00:01","1000.1","2019-06-13 17:55","26.4","29.8","2019-06-13 11:52","23.3","2019-06-13 00:51","...","100","96","2019-06-13 16:14","1.1","189","7.9","188","2019-06-13 22:29","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1000.7","...","1003.0","2019-06-14 21:51","998.9","2019-06-14 03:13","25.2","28.0","2019-06-14 13:41","23.0","2019-06-14 09:31","...","97","87","2019-06-14 18:36","2.6","45","9.9","14","2019-06-14 15:38","8.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1003.8","...","1005.6","2019-06-15 22:41","1002.1","2019-06-15 00:11","26.2","30.0","2019-06-15 11:02","22.5","2019-06-15 05:41","...","83","66","2019-06-15 11:02","2.6","21","9.5","41","2019-06-15 13:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1006.0","...","1008.6","2019-06-16 22:11","1003.9","2019-06-16 02:31","27.3","31.2","2019-06-16 12:45","23.6","2019-06-16 03:51","...","89","66","2019-06-16 15:52","1.1","5","8.1","190","2019-06-16 19:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1008.5","...","1010.6","2019-06-17 22:13","1007.4","2019-06-17 00:21","28.3","31.7","2019-06-17 11:57","25.1","2019-06-17 19:32","...","92","78","2019-06-17 08:57","0.8","40","11.4","238","2019-06-17 19:18","25.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1008.4","...","1009.6","2019-06-18 08:21","1007.4","2019-06-18 15:05","29.7","33.4","2019-06-18 16:02","25.9","2019-06-18 00:51","...","90","75","2019-06-18 16:12","1.9","188","9.0","302","2019-06-18 12:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1007.1","...","1008.6","2019-06-19 06:51","1005.0","2019-06-19 16:11","29.9","33.2","2019-06-19 10:31","27.9","2019-06-19 23:53","...","88","73","2019-06-19 15:31","2.6","182","9.6","274","2019-06-19 13:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1005.8","...","1007.1","2019-06-20 08:21","1004.5","2019-06-20 14:51","29.4","32.6","2019-06-20 10:51","27.1","2019-06-20 04:21","...","94","80","2019-06-20 14:23","2.9","188","10.4","281","2019-06-20 12:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1004.9","...","1006.4","2019-06-21 08:33","1003.4","2019-06-21 15:53","29.8","32.6","2019-06-21 10:21","27.3","2019-06-21 04:21","...","90","73","2019-06-21 15:34","3.5","188","11.4","242","2019-06-21 11:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1003.6","...","1005.2","2019-06-22 00:01","1001.8","2019-06-22 16:48","30.3","33.8","2019-06-22 13:22","28.2","2019-06-22 05:11","...","86","67","2019-06-22 14:29","2.8","187","10.5","205","2019-06-22 11:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1004.3","...","1006.5","2019-06-23 18:24","1001.7","2019-06-23 02:53","27.3","29.9","2019-06-23 11:41","23.3","2019-06-23 18:40","...","98","90","2019-06-23 08:03","1.7","189","14.4","248","2019-06-23 18:14","54.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1007.0","...","1008.6","2019-06-24 22:17","1003.9","2019-06-24 03:04","25.5","27.4","2019-06-24 01:13","23.1","2019-06-24 11:08","...","100","96","2019-06-24 01:11","1.0","27","15.7","285","2019-06-24 03:53","60.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1006.5","...","1008.3","2019-06-25 00:01","1005.2","2019-06-25 13:32","27.9","32.7","2019-06-25 11:23","24.5","2019-06-25 04:08","...","89","74","2019-06-25 10:34","1.3","176","9.6","245","2019-06-25 14:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
