"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.2","...","1019.3","2013-01-01 09:31","1015.9","2013-01-01 14:22","13.8","17.4","2013-01-01 14:32","9.7","2013-01-01 03:09","...","92","68","2013-01-01 14:47","1.1","35","3.8","12","2013-01-01 16:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.3","...","1019.1","2013-01-02 09:49","1015.5","2013-01-02 02:34","17.4","20.3","2013-01-02 20:21","14.5","2013-01-02 04:07","...","/","98","2013-01-02 11:17","2.8","36","10.6","39","2013-01-02 23:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.8","...","1020.3","2013-01-03 11:17","1017.5","2013-01-03 14:41","15.5","17.3","2013-01-03 00:02","13.7","2013-01-03 23:46","...","/","94","2013-01-03 14:41","4.6","42","11.0","55","2013-01-03 02:17","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1016.2","...","1019.4","2013-01-04 01:31","1013.4","2013-01-04 16:16","16.0","19.0","2013-01-04 12:37","13.6","2013-01-04 01:01","...","/","88","2013-01-04 11:33","3.4","39","10.1","48","2013-01-04 02:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.3","...","1016.3","2013-01-05 08:32","1012.4","2013-01-05 13:51","16.7","19.2","2013-01-05 11:49","15.2","2013-01-05 05:04","...","/","95","2013-01-05 11:54","3.8","40","11.2","55","2013-01-05 14:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.5","...","1016.6","2013-01-06 09:22","1012.4","2013-01-06 14:34","17.6","20.0","2013-01-06 09:50","16.2","2013-01-06 02:20","...","/","98","2013-01-06 09:50","3.0","37","7.9","55","2013-01-06 09:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.7","...","1016.2","2013-01-07 08:50","1011.2","2013-01-07 14:31","18.2","20.3","2013-01-07 11:47","17.4","2013-01-07 23:50","...","/","99","2013-01-07 07:02","3.1","38","6.8","37","2013-01-07 14:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1013.9","...","1016.2","2013-01-08 09:04","1011.8","2013-01-08 14:01","17.0","18.0","2013-01-08 14:22","15.6","2013-01-08 23:54","...","/","99","2013-01-08 20:31","3.3","40","7.6","48","2013-01-08 13:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.4","...","1016.8","2013-01-09 22:55","1013.6","2013-01-09 14:55","15.0","15.5","2013-01-09 14:55","14.6","2013-01-09 19:01","...","/","82","2013-01-09 23:45","4.6","43","10.8","34","2013-01-09 15:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.3","...","1017.9","2013-01-10 09:16","1014.6","2013-01-10 14:54","15.9","18.5","2013-01-10 14:17","14.5","2013-01-10 23:39","...","/","60","2013-01-10 15:48","4.0","41","9.5","43","2013-01-10 11:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
