"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.7","...","1022.8","2015-01-01 08:51","1018.4","2015-01-01 00:01","14.1","18.2","2015-01-01 12:02","11.3","2015-01-01 23:31","...","58","40","2015-01-01 11:37","4.7","44","14.7","46","2015-01-01 18:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1021.3","...","1023.5","2015-01-02 09:11","1018.5","2015-01-02 14:51","13.9","18.6","2015-01-02 14:21","10.9","2015-01-02 02:51","...","62","49","2015-01-02 11:41","3.1","40","8.6","32","2015-01-02 09:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.9","...","1021.5","2015-01-03 09:02","1016.9","2015-01-03 14:44","15.3","20.7","2015-01-03 14:31","11.3","2015-01-03 04:18","...","69","46","2015-01-03 12:11","1.6","52","5.7","40","2015-01-03 09:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1014.9","...","1017.1","2015-01-04 08:51","1012.8","2015-01-04 23:41","16.4","20.7","2015-01-04 12:01","12.1","2015-01-04 07:01","...","78","62","2015-01-04 10:44","1.2","45","5.6","8","2015-01-04 13:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1012.4","...","1014.9","2015-01-05 09:13","1010.8","2015-01-05 14:41","18.5","24.2","2015-01-05 16:11","13.2","2015-01-05 05:21","...","76","46","2015-01-05 10:33","1.6","5","6.4","360","2015-01-05 16:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1011.9","...","1013.4","2015-01-06 07:33","1009.9","2015-01-06 13:51","19.9","25.3","2015-01-06 12:05","17.4","2015-01-06 05:11","...","78","53","2015-01-06 12:05","2.6","17","11.9","18","2015-01-06 15:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1016.3","...","1020.0","2015-01-07 23:05","1012.2","2015-01-07 00:01","16.1","18.5","2015-01-07 00:08","13.2","2015-01-07 23:58","...","78","69","2015-01-07 13:42","5.3","37","15.3","60","2015-01-07 23:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1021.0","...","1023.1","2015-01-08 09:11","1019.1","2015-01-08 13:49","13.8","17.2","2015-01-08 13:22","11.5","2015-01-08 06:43","...","60","44","2015-01-08 12:51","5.4","45","15.8","39","2015-01-08 09:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1020.8","...","1023.1","2015-01-09 09:31","1019.0","2015-01-09 13:51","15.3","19.0","2015-01-09 13:01","12.7","2015-01-09 06:51","...","65","50","2015-01-09 11:26","3.5","23","9.4","17","2015-01-09 14:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1020.0","...","1021.9","2015-01-10 09:36","1017.7","2015-01-10 14:16","16.1","21.1","2015-01-10 12:41","12.3","2015-01-10 06:42","...","66","49","2015-01-10 12:42","2.6","32","9.0","360","2015-01-10 14:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1018.6","...","1020.6","2015-01-11 08:32","1016.8","2015-01-11 14:03","17.0","22.6","2015-01-11 14:21","12.6","2015-01-11 06:04","...","67","43","2015-01-11 14:27","1.9","18","8.6","2","2015-01-11 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1017.1","...","1019.4","2015-01-12 09:22","1014.6","2015-01-12 14:44","18.2","23.2","2015-01-12 12:21","14.6","2015-01-12 04:41","...","67","47","2015-01-12 12:23","1.7","51","8.1","11","2015-01-12 15:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1014.7","...","1017.5","2015-01-13 22:21","1012.1","2015-01-13 14:52","17.5","20.7","2015-01-13 11:21","15.5","2015-01-13 21:31","...","83","69","2015-01-13 11:01","2.2","3","10.1","30","2015-01-13 19:55","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1016.5","...","1019.4","2015-01-14 08:41","1014.0","2015-01-14 14:51","16.1","19.1","2015-01-14 13:24","14.1","2015-01-14 23:51","...","83","69","2015-01-14 13:43","3.5","46","11.8","29","2015-01-14 11:35","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1018.0","...","1019.9","2015-01-15 09:13","1016.2","2015-01-15 14:14","15.5","18.9","2015-01-15 12:51","13.3","2015-01-15 03:21","...","72","59","2015-01-15 11:15","4.0","42","13.1","45","2015-01-15 08:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1018.9","...","1021.2","2015-01-16 09:12","1016.5","2015-01-16 14:11","15.5","19.2","2015-01-16 11:51","12.9","2015-01-16 03:12","...","80","66","2015-01-16 10:35","3.1","43","12.6","52","2015-01-16 13:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1019.7","...","1021.6","2015-01-17 09:41","1018.2","2015-01-17 03:46","15.3","18.7","2015-01-17 13:43","12.7","2015-01-17 23:54","...","62","43","2015-01-17 12:25","4.4","45","15.3","47","2015-01-17 09:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1019.1","...","1021.6","2015-01-18 09:22","1016.9","2015-01-18 14:51","15.0","19.4","2015-01-18 12:42","11.7","2015-01-18 03:04","...","73","58","2015-01-18 12:23","3.2","39","13.5","43","2015-01-18 14:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1017.1","...","1019.0","2015-01-19 00:22","1015.0","2015-01-19 14:51","16.0","19.6","2015-01-19 14:54","13.3","2015-01-19 23:41","...","61","45","2015-01-19 12:11","3.7","49","11.5","39","2015-01-19 12:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1016.8","...","1018.5","2015-01-20 09:33","1014.3","2015-01-20 14:04","16.8","21.4","2015-01-20 11:57","12.8","2015-01-20 03:03","...","74","57","2015-01-20 12:41","2.0","41","7.5","33","2015-01-20 18:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1016.4","...","1018.5","2015-01-21 08:26","1014.0","2015-01-21 14:03","17.0","19.7","2015-01-21 15:21","14.2","2015-01-21 23:52","...","83","71","2015-01-21 15:33","3.3","38","10.0","48","2015-01-21 10:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1018.2","...","1020.3","2015-01-22 09:31","1016.0","2015-01-22 02:53","15.5","19.1","2015-01-22 11:21","11.5","2015-01-22 23:14","...","56","30","2015-01-22 10:53","3.4","37","11.8","20","2015-01-22 12:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1018.1","...","1020.0","2015-01-23 09:32","1016.6","2015-01-23 15:12","14.3","19.4","2015-01-23 13:06","8.5","2015-01-23 06:20","...","56","29","2015-01-23 00:14","1.9","11","7.7","2","2015-01-23 15:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1018.4","...","1020.1","2015-01-24 08:54","1017.4","2015-01-24 15:01","15.1","20.2","2015-01-24 11:32","10.5","2015-01-24 06:41","...","74","40","2015-01-24 10:31","1.4","2","6.9","27","2015-01-24 16:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1017.2","...","1019.6","2015-01-25 10:12","1015.0","2015-01-25 15:05","17.5","21.4","2015-01-25 13:14","14.0","2015-01-25 00:01","...","77","58","2015-01-25 12:13","2.1","36","7.5","43","2015-01-25 08:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1016.2","...","1018.7","2015-01-26 09:33","1013.8","2015-01-26 14:45","17.6","21.3","2015-01-26 11:49","15.8","2015-01-26 06:33","...","87","70","2015-01-26 11:44","2.4","41","8.6","34","2015-01-26 14:45","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1014.4","...","1016.3","2015-01-27 09:28","1012.1","2015-01-27 15:25","17.3","18.8","2015-01-27 14:51","15.5","2015-01-27 22:41","...","89","82","2015-01-27 23:53","3.4","40","10.3","44","2015-01-27 21:34","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1014.4","...","1016.0","2015-01-28 23:41","1012.7","2015-01-28 13:31","16.4","19.5","2015-01-28 12:11","14.6","2015-01-28 06:46","...","77","68","2015-01-28 10:02","4.1","41","11.9","6","2015-01-28 12:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1016.0","...","1017.4","2015-01-29 09:32","1014.3","2015-01-29 14:32","16.9","19.6","2015-01-29 10:32","15.2","2015-01-29 05:41","...","84","70","2015-01-29 10:32","3.6","38","9.3","13","2015-01-29 12:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1018.1","...","1021.0","2015-01-30 22:22","1015.5","2015-01-30 04:01","15.7","18.3","2015-01-30 15:01","13.5","2015-01-30 19:55","...","84","70","2015-01-30 15:03","5.1","42","15.9","52","2015-01-30 18:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1021.5","...","1023.4","2015-01-31 09:15","1019.7","2015-01-31 14:53","14.6","18.0","2015-01-31 11:51","13.3","2015-01-31 01:51","...","78","66","2015-01-31 11:12","4.9","41","15.5","64","2015-01-31 15:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
