"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.9","...","1007.8","2013-07-01 21:46","1004.2","2013-07-01 15:38","30.2","32.9","2013-07-01 14:05","27.0","2013-07-01 05:01","...","81","67","2013-07-01 14:12","0.9","6","6.3","9","2013-07-01 12:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1007.4","...","1009.2","2013-07-02 18:46","1005.6","2013-07-02 02:16","29.8","33.7","2013-07-02 11:16","27.0","2013-07-02 19:01","...","80","58","2013-07-02 11:34","0.6","181","7.2","291","2013-07-02 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.5","...","1008.4","2013-07-03 21:32","1006.5","2013-07-03 16:48","29.7","31.2","2013-07-03 16:57","28.3","2013-07-03 20:01","...","75","75","2013-07-03 23:32","0.9","169","6.2","289","2013-07-03 16:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1006.0","...","1008.0","2013-07-04 09:01","1004.0","2013-07-04 15:32","29.8","32.7","2013-07-04 15:22","27.8","2013-07-04 19:32","...","80","72","2013-07-04 10:29","2.2","179","6.8","302","2013-07-04 11:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.9","...","1007.7","2013-07-05 21:57","1004.4","2013-07-05 14:48","30.1","33.9","2013-07-05 12:48","27.7","2013-07-05 04:31","...","78","61","2013-07-05 14:01","2.9","171","10.3","270","2013-07-05 12:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.5","...","1009.3","2013-07-06 21:49","1005.8","2013-07-06 03:48","29.1","33.2","2013-07-06 10:02","25.8","2013-07-06 19:12","...","80","61","2013-07-06 10:02","2.4","170","9.0","290","2013-07-06 13:23","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.0","...","1010.6","2013-07-07 18:46","1007.5","2013-07-07 14:40","29.3","34.2","2013-07-07 13:01","25.3","2013-07-07 19:32","...","78","57","2013-07-07 13:31","2.6","178","8.3","166","2013-07-07 17:49","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1009.5","...","1010.9","2013-07-08 08:47","1007.7","2013-07-08 15:20","29.1","32.6","2013-07-08 13:33","26.2","2013-07-08 05:31","...","76","58","2013-07-08 08:57","2.0","190","6.6","310","2013-07-08 11:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.5","...","1009.7","2013-07-09 00:01","1005.5","2013-07-09 14:33","28.4","32.5","2013-07-09 13:03","24.8","2013-07-09 18:46","...","81","60","2013-07-09 12:20","1.6","209","12.0","165","2013-07-09 16:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.1","...","1007.4","2013-07-10 10:16","1004.4","2013-07-10 16:24","28.8","32.1","2013-07-10 12:32","24.7","2013-07-10 00:53","...","82","66","2013-07-10 12:33","1.7","350","7.1","328","2013-07-10 16:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
