"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.7","...","1010.1","2015-09-01 21:49","1006.3","2015-09-01 04:13","29.2","33.0","2015-09-01 09:51","26.2","2015-09-01 03:03","...","80","60","2015-09-01 09:51","1.7","182","8.0","155","2015-09-01 19:39","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1010.2","...","1012.0","2015-09-02 20:51","1008.5","2015-09-02 15:41","29.5","32.6","2015-09-02 12:24","26.7","2015-09-02 02:31","...","81","67","2015-09-02 18:04","1.7","184","7.4","304","2015-09-02 11:42","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1011.5","...","1012.8","2015-09-03 22:21","1010.1","2015-09-03 15:24","30.3","34.6","2015-09-03 12:51","27.5","2015-09-03 02:44","...","78","59","2015-09-03 12:59","1.3","300","5.9","325","2015-09-03 13:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1011.2","...","1012.8","2015-09-04 00:01","1009.3","2015-09-04 16:06","30.5","34.0","2015-09-04 12:41","27.8","2015-09-04 03:31","...","77","54","2015-09-04 12:51","1.5","164","6.9","298","2015-09-04 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1008.3","...","1010.6","2015-09-05 00:01","1006.3","2015-09-05 16:21","30.5","33.7","2015-09-05 13:02","28.1","2015-09-05 04:49","...","76","62","2015-09-05 12:41","2.3","193","10.0","291","2015-09-05 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1005.2","...","1007.3","2015-09-06 08:42","1002.5","2015-09-06 16:25","31.1","34.3","2015-09-06 15:51","28.5","2015-09-06 05:41","...","77","57","2015-09-06 16:02","3.1","172","9.8","266","2015-09-06 14:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1004.8","...","1006.8","2015-09-07 22:41","1002.7","2015-09-07 04:02","28.2","30.5","2015-09-07 00:01","27.0","2015-09-07 17:25","...","91","83","2015-09-07 00:25","1.3","58","6.2","34","2015-09-07 10:29","22.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.9","...","1007.6","2015-09-08 22:52","1004.3","2015-09-08 14:28","28.8","32.4","2015-09-08 11:42","25.2","2015-09-08 05:41","...","74","60","2015-09-08 12:31","3.5","48","12.6","33","2015-09-08 16:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.5","...","1010.6","2015-09-09 22:11","1006.8","2015-09-09 15:36","29.1","33.3","2015-09-09 11:53","25.8","2015-09-09 23:59","...","69","58","2015-09-09 11:53","2.7","22","12.0","40","2015-09-09 16:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1009.5","...","1011.5","2015-09-10 09:51","1007.5","2015-09-10 15:22","28.0","32.4","2015-09-10 12:41","24.8","2015-09-10 02:22","...","66","42","2015-09-10 10:54","3.6","41","12.3","31","2015-09-10 17:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1008.2","...","1009.8","2015-09-11 08:51","1006.3","2015-09-11 14:42","28.2","32.4","2015-09-11 13:01","24.9","2015-09-11 05:04","...","72","51","2015-09-11 12:44","2.2","42","8.8","57","2015-09-11 16:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1008.9","...","1010.4","2015-09-12 21:27","1007.3","2015-09-12 15:27","28.6","32.7","2015-09-12 12:41","25.8","2015-09-12 23:52","...","73","52","2015-09-12 12:21","2.3","32","10.6","55","2015-09-12 15:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1009.7","...","1012.2","2015-09-13 10:01","1007.5","2015-09-13 15:41","28.7","33.5","2015-09-13 12:31","25.1","2015-09-13 03:41","...","72","52","2015-09-13 12:33","2.3","37","10.8","14","2015-09-13 13:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1009.2","...","1011.0","2015-09-14 08:43","1007.2","2015-09-14 15:53","29.9","34.3","2015-09-14 11:41","26.5","2015-09-14 05:51","...","75","48","2015-09-14 11:41","1.7","16","7.0","2","2015-09-14 16:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1009.1","...","1011.0","2015-09-15 08:31","1007.5","2015-09-15 15:32","29.9","33.9","2015-09-15 10:22","27.9","2015-09-15 03:11","...","79","59","2015-09-15 10:30","2.0","26","9.8","9","2015-09-15 16:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.5","...","1011.5","2015-09-16 22:32","1007.5","2015-09-16 14:51","29.3","32.9","2015-09-16 11:13","27.3","2015-09-16 23:43","...","81","65","2015-09-16 11:13","3.1","40","12.0","15","2015-09-16 15:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1011.8","...","1013.5","2015-09-17 09:52","1010.1","2015-09-17 16:01","28.7","32.7","2015-09-17 12:03","26.5","2015-09-17 23:15","...","74","54","2015-09-17 11:45","3.1","41","11.0","44","2015-09-17 15:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1011.7","...","1013.4","2015-09-18 07:43","1010.1","2015-09-18 14:33","27.8","32.0","2015-09-18 13:02","24.4","2015-09-18 05:41","...","68","44","2015-09-18 10:32","3.4","39","12.4","15","2015-09-18 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1009.3","...","1011.2","2015-09-19 08:31","1007.3","2015-09-19 17:42","28.1","33.8","2015-09-19 12:52","24.1","2015-09-19 05:51","...","68","42","2015-09-19 11:01","2.4","37","9.1","9","2015-09-19 15:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1007.2","...","1009.4","2015-09-20 00:02","1005.3","2015-09-20 14:36","29.4","32.7","2015-09-20 13:55","26.8","2015-09-20 05:01","...","72","48","2015-09-20 13:55","1.9","20","7.1","300","2015-09-20 11:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1007.1","...","1008.5","2015-09-21 21:43","1005.7","2015-09-21 14:51","29.6","32.4","2015-09-21 15:01","28.0","2015-09-21 04:46","...","76","60","2015-09-21 14:55","1.7","46","5.6","340","2015-09-21 11:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1008.3","...","1010.0","2015-09-22 07:54","1006.6","2015-09-22 14:34","29.8","33.6","2015-09-22 14:41","27.0","2015-09-22 03:21","...","79","49","2015-09-22 13:42","1.9","36","6.0","1","2015-09-22 13:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1006.3","...","1008.4","2015-09-23 00:01","1004.0","2015-09-23 15:38","30.1","32.8","2015-09-23 10:54","27.3","2015-09-23 05:51","...","79","61","2015-09-23 10:54","1.5","95","6.8","288","2015-09-23 12:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1003.5","...","1005.9","2015-09-24 08:21","1001.5","2015-09-24 15:14","30.0","33.4","2015-09-24 10:01","28.1","2015-09-24 03:08","...","80","63","2015-09-24 10:01","2.1","10","6.6","274","2015-09-24 11:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1002.1","...","1003.7","2015-09-25 08:51","1000.2","2015-09-25 15:41","30.3","33.7","2015-09-25 15:42","28.0","2015-09-25 04:21","...","75","55","2015-09-25 15:42","2.1","26","7.9","49","2015-09-25 14:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1003.3","...","1005.0","2015-09-26 10:12","1001.5","2015-09-26 14:54","29.1","32.3","2015-09-26 14:02","27.5","2015-09-26 23:41","...","71","63","2015-09-26 09:31","4.3","40","14.0","40","2015-09-26 16:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1002.4","...","1004.4","2015-09-27 07:41","1000.6","2015-09-27 14:23","27.7","30.3","2015-09-27 10:22","26.2","2015-09-27 19:21","...","74","62","2015-09-27 14:13","6.5","44","17.7","36","2015-09-27 11:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","991.5","...","1001.2","2015-09-28 00:09","974.7","2015-09-28 19:52","28.0","29.8","2015-09-28 15:31","26.0","2015-09-28 04:52","...","91","85","2015-09-28 17:00","8.4","15","35.4","4","2015-09-28 18:49","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1000.6","...","1009.5","2015-09-29 22:25","981.7","2015-09-29 00:01","28.4","31.2","2015-09-29 13:51","25.4","2015-09-29 05:07","...","88","70","2015-09-29 12:11","5.0","189","29.9","186","2015-09-29 03:01","33.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1011.0","...","1013.5","2015-09-30 21:18","1008.4","2015-09-30 03:21","29.8","33.2","2015-09-30 12:12","26.7","2015-09-30 05:13","...","85","69","2015-09-30 17:29","1.5","291","6.9","287","2015-09-30 11:30","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
