"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.5","...","1009.7","2016-10-01 22:23","1006.0","2016-10-01 13:41","27.5","30.8","2016-10-01 14:01","25.6","2016-10-01 05:21","...","89","70","2016-10-01 14:01","1.8","33","6.8","292","2016-10-01 12:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1006.8","...","1009.5","2016-10-02 00:01","1004.7","2016-10-02 16:42","28.0","32.3","2016-10-02 12:21","25.3","2016-10-02 05:51","...","84","59","2016-10-02 10:14","1.7","5","7.1","25","2016-10-02 17:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1004.3","...","1005.7","2016-10-03 00:01","1002.5","2016-10-03 14:41","27.5","31.0","2016-10-03 10:00","25.0","2016-10-03 23:51","...","85","68","2016-10-03 13:03","2.0","41","9.2","41","2016-10-03 15:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1004.7","...","1006.0","2016-10-04 09:12","1002.9","2016-10-04 14:41","27.5","31.3","2016-10-04 13:51","24.4","2016-10-04 05:55","...","76","62","2016-10-04 15:04","2.3","35","7.3","7","2016-10-04 16:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.1","...","1007.0","2016-10-05 10:01","1003.2","2016-10-05 16:33","27.9","31.4","2016-10-05 13:41","25.6","2016-10-05 01:21","...","80","65","2016-10-05 13:47","2.0","32","8.3","15","2016-10-05 15:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.5","...","1005.9","2016-10-06 06:35","1002.8","2016-10-06 02:57","27.7","30.9","2016-10-06 14:13","25.7","2016-10-06 03:42","...","89","73","2016-10-06 14:12","1.6","247","8.5","248","2016-10-06 11:53","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1004.6","...","1006.5","2016-10-07 23:21","1002.8","2016-10-07 02:41","27.7","31.0","2016-10-07 10:44","25.9","2016-10-07 21:41","...","84","64","2016-10-07 11:38","1.4","158","5.6","172","2016-10-07 07:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.8","...","1007.2","2016-10-08 09:13","1004.6","2016-10-08 13:51","26.2","27.8","2016-10-08 12:11","24.6","2016-10-08 23:53","...","92","80","2016-10-08 08:31","1.6","176","9.0","44","2016-10-08 23:47","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.1","...","1007.3","2016-10-09 09:02","1004.6","2016-10-09 02:51","24.1","26.2","2016-10-09 10:12","22.6","2016-10-09 23:35","...","88","75","2016-10-09 10:12","4.5","43","13.5","52","2016-10-09 19:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1007.1","...","1009.1","2016-10-10 21:12","1005.0","2016-10-10 03:21","24.2","26.7","2016-10-10 11:11","22.5","2016-10-10 01:55","...","88","77","2016-10-10 11:13","4.2","41","11.4","53","2016-10-10 15:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1008.1","...","1009.7","2016-10-11 09:12","1006.2","2016-10-11 14:51","25.4","28.5","2016-10-11 13:14","23.5","2016-10-11 03:11","...","92","82","2016-10-11 11:31","3.8","40","10.4","1","2016-10-11 12:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1009.8","...","1011.6","2016-10-12 21:43","1008.4","2016-10-12 14:23","25.1","28.1","2016-10-12 10:32","23.6","2016-10-12 23:12","...","86","77","2016-10-12 10:52","3.9","41","13.8","49","2016-10-12 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1009.7","...","1011.6","2016-10-13 09:01","1008.2","2016-10-13 14:11","25.4","29.2","2016-10-13 12:43","23.3","2016-10-13 04:55","...","83","66","2016-10-13 11:51","3.7","42","11.0","2","2016-10-13 14:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1008.7","...","1010.3","2016-10-14 10:01","1006.7","2016-10-14 15:15","25.6","28.4","2016-10-14 13:33","23.5","2016-10-14 03:06","...","86","74","2016-10-14 10:31","3.7","36","12.9","44","2016-10-14 14:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1007.3","...","1009.4","2016-10-15 08:21","1005.6","2016-10-15 13:44","27.5","32.2","2016-10-15 13:33","23.9","2016-10-15 04:14","...","84","60","2016-10-15 13:33","1.7","6","6.8","312","2016-10-15 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1007.0","...","1008.8","2016-10-16 08:22","1005.1","2016-10-16 14:23","28.0","31.8","2016-10-16 12:21","25.0","2016-10-16 06:12","...","80","66","2016-10-16 12:21","1.5","296","6.6","302","2016-10-16 14:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1006.6","...","1008.8","2016-10-17 22:35","1004.3","2016-10-17 15:26","28.4","32.0","2016-10-17 15:02","25.1","2016-10-17 05:24","...","79","60","2016-10-17 13:41","1.5","64","6.3","309","2016-10-17 13:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1007.8","...","1009.4","2016-10-18 10:01","1006.3","2016-10-18 15:04","28.6","31.8","2016-10-18 09:37","26.6","2016-10-18 06:01","...","79","65","2016-10-18 09:35","1.5","288","5.7","293","2016-10-18 11:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1005.4","...","1007.8","2016-10-19 00:01","1002.9","2016-10-19 23:41","27.9","30.8","2016-10-19 15:22","26.2","2016-10-19 05:33","...","84","71","2016-10-19 14:52","1.7","300","6.3","290","2016-10-19 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1000.2","...","1003.1","2016-10-20 00:01","997.8","2016-10-20 13:31","28.5","32.9","2016-10-20 14:22","25.7","2016-10-20 03:41","...","82","64","2016-10-20 12:01","1.4","213","6.0","248","2016-10-20 11:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1004.3","...","1007.0","2016-10-21 21:52","1000.4","2016-10-21 01:33","28.4","32.9","2016-10-21 12:25","26.3","2016-10-21 03:15","...","84","62","2016-10-21 12:25","1.3","3","6.1","296","2016-10-21 16:08","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1006.8","...","1008.9","2016-10-22 09:11","1004.8","2016-10-22 14:32","28.5","31.8","2016-10-22 12:53","26.5","2016-10-22 06:14","...","85","67","2016-10-22 12:53","2.8","183","12.3","260","2016-10-22 14:53","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1007.6","...","1009.2","2016-10-23 08:23","1005.9","2016-10-23 15:14","28.1","31.2","2016-10-23 09:53","26.0","2016-10-23 23:11","...","85","70","2016-10-23 12:51","2.5","41","8.4","300","2016-10-23 12:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1008.7","...","1010.4","2016-10-24 08:51","1006.9","2016-10-24 14:01","27.9","32.2","2016-10-24 10:51","24.9","2016-10-24 06:48","...","82","56","2016-10-24 13:51","1.6","11","6.1","345","2016-10-24 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1010.5","...","1012.2","2016-10-25 23:15","1009.1","2016-10-25 01:44","27.5","30.6","2016-10-25 10:41","25.6","2016-10-25 05:53","...","87","69","2016-10-25 11:05","1.7","40","6.4","293","2016-10-25 12:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1013.0","...","1014.7","2016-10-26 08:27","1011.7","2016-10-26 01:51","27.2","29.9","2016-10-26 14:07","25.2","2016-10-26 22:11","...","88","76","2016-10-26 14:33","1.4","8","6.6","289","2016-10-26 11:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1013.2","...","1015.7","2016-10-27 09:24","1011.7","2016-10-27 15:02","27.0","30.1","2016-10-27 13:41","24.8","2016-10-27 02:41","...","87","75","2016-10-27 10:14","1.3","108","6.6","309","2016-10-27 12:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1012.1","...","1014.1","2016-10-28 09:12","1010.6","2016-10-28 14:47","27.0","30.3","2016-10-28 12:01","24.4","2016-10-28 03:51","...","86","71","2016-10-28 15:29","1.9","57","6.9","360","2016-10-28 13:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1013.8","...","1016.3","2016-10-29 23:24","1011.6","2016-10-29 00:32","25.8","29.1","2016-10-29 11:35","22.9","2016-10-29 23:51","...","83","69","2016-10-29 12:31","4.3","41","14.9","53","2016-10-29 15:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1015.3","...","1017.3","2016-10-30 09:11","1013.3","2016-10-30 13:36","24.2","28.6","2016-10-30 12:54","21.8","2016-10-30 23:57","...","71","52","2016-10-30 13:11","4.2","41","12.6","42","2016-10-30 10:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1015.3","...","1017.6","2016-10-31 07:53","1012.6","2016-10-31 14:41","24.1","28.2","2016-10-31 12:33","21.4","2016-10-31 04:41","...","78","68","2016-10-31 12:33","3.9","42","13.4","15","2016-10-31 15:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
