"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.1","...","1019.4","2017-02-01 09:01","1016.3","2017-02-01 14:41","17.5","19.9","2017-02-01 13:43","14.9","2017-02-01 23:53","...","84","71","2017-02-01 15:45","4.9","40","14.7","44","2017-02-01 21:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1019.1","...","1021.5","2017-02-02 08:45","1017.1","2017-02-02 14:41","16.3","19.0","2017-02-02 11:54","14.8","2017-02-02 23:56","...","76","67","2017-02-02 12:12","4.5","41","15.4","39","2017-02-02 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1017.4","...","1019.7","2017-02-03 09:21","1014.7","2017-02-03 14:34","17.4","20.5","2017-02-03 11:01","14.5","2017-02-03 00:41","...","84","71","2017-02-03 10:28","2.9","35","11.3","6","2017-02-03 13:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1013.7","...","1017.1","2017-02-04 00:01","1010.8","2017-02-04 15:22","18.1","20.5","2017-02-04 13:24","17.1","2017-02-04 08:18","...","94","79","2017-02-04 12:45","2.1","25","5.8","18","2017-02-04 08:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1011.0","...","1013.4","2017-02-05 08:22","1008.9","2017-02-05 17:54","18.3","21.7","2017-02-05 11:51","16.8","2017-02-05 06:33","...","91","72","2017-02-05 11:57","3.5","44","11.9","45","2017-02-05 19:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1012.4","...","1014.6","2017-02-06 09:11","1010.2","2017-02-06 02:02","17.9","21.2","2017-02-06 13:51","15.9","2017-02-06 23:53","...","73","60","2017-02-06 13:52","4.5","46","14.7","33","2017-02-06 15:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1014.0","...","1016.6","2017-02-07 09:24","1012.4","2017-02-07 15:53","17.5","20.8","2017-02-07 11:44","15.4","2017-02-07 01:02","...","70","55","2017-02-07 11:44","3.3","41","12.7","17","2017-02-07 13:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1013.9","...","1015.6","2017-02-08 23:21","1012.7","2017-02-08 15:23","17.1","20.5","2017-02-08 10:52","15.7","2017-02-08 02:53","...","85","71","2017-02-08 10:49","3.2","43","11.4","39","2017-02-08 23:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1016.2","...","1018.4","2017-02-09 10:04","1014.3","2017-02-09 02:42","12.6","16.0","2017-02-09 00:01","11.0","2017-02-09 19:12","...","69","43","2017-02-09 21:51","6.7","44","17.9","49","2017-02-09 04:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1018.8","...","1021.0","2017-02-10 23:04","1015.9","2017-02-10 04:01","11.9","14.3","2017-02-10 12:22","10.2","2017-02-10 04:52","...","54","47","2017-02-10 00:14","5.5","43","15.6","55","2017-02-10 09:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1022.0","...","1023.8","2017-02-11 09:41","1020.1","2017-02-11 02:05","12.8","16.4","2017-02-11 14:21","11.6","2017-02-11 23:01","...","53","45","2017-02-11 13:34","4.7","44","12.6","52","2017-02-11 17:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1022.9","...","1024.8","2017-02-12 08:44","1020.9","2017-02-12 14:43","14.4","18.3","2017-02-12 11:31","10.9","2017-02-12 06:21","...","63","48","2017-02-12 11:02","3.6","44","12.2","13","2017-02-12 13:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1023.8","...","1025.6","2017-02-13 09:42","1022.0","2017-02-13 15:02","16.0","20.2","2017-02-13 12:45","12.3","2017-02-13 06:22","...","70","56","2017-02-13 12:11","3.0","25","11.0","34","2017-02-13 13:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1025.4","...","1027.5","2017-02-14 10:13","1023.7","2017-02-14 15:28","16.2","20.7","2017-02-14 11:41","12.3","2017-02-14 06:48","...","70","51","2017-02-14 12:01","2.9","45","12.8","9","2017-02-14 15:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1023.6","...","1026.0","2017-02-15 08:21","1021.7","2017-02-15 15:37","15.9","19.3","2017-02-15 12:15","13.2","2017-02-15 06:11","...","83","61","2017-02-15 10:05","2.0","85","8.9","10","2017-02-15 13:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1019.6","...","1021.7","2017-02-16 00:01","1017.2","2017-02-16 15:03","18.1","23.7","2017-02-16 14:15","14.5","2017-02-16 00:41","...","75","36","2017-02-16 14:31","1.2","49","5.2","291","2017-02-16 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1018.8","...","1020.9","2017-02-17 08:31","1017.1","2017-02-17 15:11","20.0","25.0","2017-02-17 13:01","15.2","2017-02-17 06:13","...","67","39","2017-02-17 12:32","1.4","14","6.8","11","2017-02-17 16:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1019.2","...","1021.2","2017-02-18 07:43","1017.1","2017-02-18 14:13","17.7","19.8","2017-02-18 12:02","16.6","2017-02-18 06:49","...","92","82","2017-02-18 00:01","4.0","35","14.2","23","2017-02-18 17:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1015.3","...","1018.5","2017-02-19 00:01","1012.2","2017-02-19 23:51","17.9","22.1","2017-02-19 11:33","14.8","2017-02-19 06:21","...","88","75","2017-02-19 10:22","1.6","337","6.9","48","2017-02-19 01:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1012.5","...","1014.6","2017-02-20 22:41","1010.8","2017-02-20 15:51","21.7","27.1","2017-02-20 11:47","17.8","2017-02-20 01:11","...","76","55","2017-02-20 11:42","2.0","33","10.9","12","2017-02-20 22:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1015.1","...","1017.2","2017-02-21 07:32","1013.1","2017-02-21 14:53","19.5","22.4","2017-02-21 11:51","17.6","2017-02-21 06:23","...","89","70","2017-02-21 10:14","4.2","40","12.8","24","2017-02-21 13:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1013.2","...","1015.6","2017-02-22 05:51","1010.2","2017-02-22 17:01","19.9","23.7","2017-02-22 10:16","16.5","2017-02-22 06:23","...","97","74","2017-02-22 10:01","1.9","35","9.3","40","2017-02-22 06:06","10.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1014.6","...","1018.1","2017-02-23 23:13","1012.4","2017-02-23 03:51","17.1","21.7","2017-02-23 00:41","12.2","2017-02-23 22:01","...","94","85","2017-02-23 13:25","4.8","42","18.3","40","2017-02-23 19:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1018.6","...","1020.7","2017-02-24 10:44","1016.6","2017-02-24 04:51","12.7","13.9","2017-02-24 09:02","11.3","2017-02-24 18:18","...","93","87","2017-02-24 00:41","4.6","43","16.7","39","2017-02-24 11:37","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1016.8","...","1019.3","2017-02-25 00:21","1014.7","2017-02-25 19:45","13.7","15.0","2017-02-25 11:51","12.6","2017-02-25 00:15","...","98","92","2017-02-25 15:59","4.1","44","13.0","39","2017-02-25 12:09","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1017.9","...","1020.0","2017-02-26 08:52","1015.7","2017-02-26 02:11","13.5","15.0","2017-02-26 12:31","12.9","2017-02-26 15:21","...","89","77","2017-02-26 21:14","5.0","43","14.7","43","2017-02-26 13:12","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1018.6","...","1020.1","2017-02-27 09:11","1017.1","2017-02-27 03:21","15.5","18.6","2017-02-27 14:12","13.6","2017-02-27 00:01","...","73","60","2017-02-27 13:32","3.6","47","11.9","52","2017-02-27 17:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1017.3","...","1019.4","2017-02-28 08:02","1014.3","2017-02-28 16:03","16.2","20.0","2017-02-28 14:51","13.5","2017-02-28 01:12","...","81","68","2017-02-28 14:53","2.8","33","9.6","3","2017-02-28 15:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
