"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.4","...","...","...","...","...","29.1","...","...","...","...","...","75","...","...","1.7","170","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1008.1","...","1009.7","2014-09-02 00:09","1006.2","2014-09-02 16:09","29.1","33.7","2014-09-02 11:18","26.6","2014-09-02 04:46","...","76","61","2014-09-02 10:16","2.1","164","8.2","310","2014-09-02 13:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.3","...","1008.4","2014-09-03 09:03","1004.0","2014-09-03 15:18","29.1","31.6","2014-09-03 09:53","26.4","2014-09-03 06:16","...","77","63","2014-09-03 09:36","2.4","172","9.0","304","2014-09-03 13:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1004.7","...","1006.2","2014-09-04 08:25","1003.0","2014-09-04 14:31","29.4","32.3","2014-09-04 10:31","26.8","2014-09-04 05:49","...","74","57","2014-09-04 10:31","2.0","37","9.6","27","2014-09-04 15:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1003.5","...","1005.2","2014-09-05 09:57","1001.2","2014-09-05 16:16","29.5","32.6","2014-09-05 14:08","26.3","2014-09-05 05:31","...","76","55","2014-09-05 10:31","1.8","165","8.7","19","2014-09-05 16:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1003.9","...","1005.7","2014-09-06 08:53","1002.2","2014-09-06 03:19","30.0","34.2","2014-09-06 10:48","28.2","2014-09-06 05:17","...","74","58","2014-09-06 10:27","2.3","13","10.0","14","2014-09-06 16:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1005.9","...","1007.4","2014-09-07 22:03","1004.4","2014-09-07 15:17","29.7","33.2","2014-09-07 10:52","27.8","2014-09-07 05:37","...","76","58","2014-09-07 11:03","2.6","181","9.2","277","2014-09-07 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1005.7","...","1007.2","2014-09-08 09:34","1003.7","2014-09-08 14:53","29.5","31.8","2014-09-08 12:31","27.3","2014-09-08 06:00","...","76","66","2014-09-08 12:35","2.1","298","7.9","298","2014-09-08 13:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1005.9","...","1007.5","2014-09-09 08:48","1004.0","2014-09-09 15:50","29.4","31.8","2014-09-09 12:46","27.0","2014-09-09 07:21","...","75","61","2014-09-09 13:46","2.0","171","7.3","310","2014-09-09 12:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.2","...","1008.2","2014-09-10 23:31","1004.9","2014-09-10 17:18","29.4","32.1","2014-09-10 09:39","26.9","2014-09-10 05:20","...","75","63","2014-09-10 09:39","2.0","298","7.6","301","2014-09-10 13:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.2","...","1007.8","2014-09-11 00:01","1004.0","2014-09-11 16:41","29.6","32.1","2014-09-11 14:51","27.5","2014-09-11 05:16","...","78","62","2014-09-11 13:55","1.8","23","7.5","10","2014-09-11 11:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1006.0","...","1007.4","2014-09-12 08:49","1004.0","2014-09-12 15:09","29.2","31.5","2014-09-12 15:34","27.4","2014-09-12 04:53","...","77","59","2014-09-12 15:34","2.1","194","6.3","316","2014-09-12 11:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.0","...","1006.6","2014-09-13 00:01","1003.3","2014-09-13 15:02","29.4","32.6","2014-09-13 12:47","26.7","2014-09-13 04:46","...","75","60","2014-09-13 12:46","1.8","355","6.7","340","2014-09-13 13:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1001.4","...","1004.4","2014-09-14 00:01","999.0","2014-09-14 15:17","30.2","34.4","2014-09-14 13:40","26.9","2014-09-14 05:31","...","74","55","2014-09-14 13:46","2.0","6","8.8","5","2014-09-14 15:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1000.6","...","1004.3","2014-09-15 23:02","998.7","2014-09-15 04:17","30.8","34.8","2014-09-15 15:46","27.0","2014-09-15 05:05","...","70","50","2014-09-15 16:50","2.3","166","7.1","299","2014-09-15 11:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1007.0","...","1010.6","2014-09-16 22:19","1003.7","2014-09-16 01:48","30.3","33.9","2014-09-16 10:06","28.6","2014-09-16 04:49","...","76","57","2014-09-16 10:06","2.3","174","9.9","261","2014-09-16 12:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1010.1","...","1011.3","2014-09-17 08:37","1008.8","2014-09-17 14:46","29.7","33.1","2014-09-17 11:16","27.3","2014-09-17 04:16","...","81","62","2014-09-17 11:11","1.9","22","7.3","342","2014-09-17 14:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1007.1","...","1010.6","2014-09-18 00:04","1004.6","2014-09-18 16:46","30.3","34.2","2014-09-18 14:20","27.9","2014-09-18 05:51","...","76","59","2014-09-18 14:20","1.8","46","6.1","54","2014-09-18 09:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1001.4","...","1005.3","2014-09-19 00:01","998.7","2014-09-19 14:46","30.1","33.2","2014-09-19 12:38","27.9","2014-09-19 06:03","...","74","58","2014-09-19 12:35","1.7","40","7.3","3","2014-09-19 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","997.8","...","1000.3","2014-09-20 21:01","995.6","2014-09-20 14:50","28.6","31.1","2014-09-20 10:53","24.3","2014-09-20 21:46","...","82","68","2014-09-20 09:52","3.3","30","14.0","24","2014-09-20 14:41","25.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","995.7","...","999.9","2014-09-21 23:47","992.4","2014-09-21 14:17","27.5","28.7","2014-09-21 12:24","26.3","2014-09-21 23:48","...","89","81","2014-09-21 17:18","3.3","26","14.2","19","2014-09-21 09:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1003.6","...","1005.2","2014-09-22 21:36","999.6","2014-09-22 00:03","26.2","28.8","2014-09-22 14:16","23.7","2014-09-22 04:07","...","87","77","2014-09-22 14:16","2.5","299","13.5","294","2014-09-22 01:44","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1006.2","...","1008.4","2014-09-23 23:49","1004.3","2014-09-23 02:55","27.6","30.4","2014-09-23 10:18","25.2","2014-09-23 19:48","...","82","69","2014-09-23 15:18","2.0","169","7.2","267","2014-09-23 19:37","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1009.0","...","1010.6","2014-09-24 08:34","1007.2","2014-09-24 15:18","28.1","31.2","2014-09-24 10:33","25.3","2014-09-24 05:16","...","81","66","2014-09-24 10:33","2.1","170","8.0","307","2014-09-24 13:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1009.8","...","1011.5","2014-09-25 09:53","1008.2","2014-09-25 15:03","28.5","31.4","2014-09-25 10:17","25.6","2014-09-25 05:47","...","77","64","2014-09-25 09:01","1.8","169","7.4","360","2014-09-25 15:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1009.6","...","1011.3","2014-09-26 08:37","1007.9","2014-09-26 14:48","28.1","31.2","2014-09-26 11:32","26.2","2014-09-26 03:32","...","79","61","2014-09-26 11:16","1.9","148","8.2","1","2014-09-26 15:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1009.8","...","1012.0","2014-09-27 07:49","1008.1","2014-09-27 15:53","27.9","31.2","2014-09-27 12:17","25.7","2014-09-27 05:17","...","78","65","2014-09-27 12:20","1.9","15","8.6","352","2014-09-27 16:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1008.7","...","...","...","...","...","27.6","...","...","...","...","...","77","...","...","1.9","29","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1007.8","...","1009.7","2014-09-29 07:48","1006.0","2014-09-29 15:07","27.9","31.3","2014-09-29 10:40","25.7","2014-09-29 00:12","...","73","50","2014-09-29 17:31","1.5","4","6.9","10","2014-09-29 14:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1008.2","...","1010.4","2014-09-30 09:05","1006.3","2014-09-30 14:25","27.9","31.5","2014-09-30 14:16","25.0","2014-09-30 05:19","...","73","59","2014-09-30 14:31","2.0","30","9.6","29","2014-09-30 15:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
