"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1024.1","...","1027.0","2020-01-01 09:26","1022.5","2020-01-01 14:56","16.4","19.6","2020-01-01 13:12","14.5","2020-01-01 00:35","...","92","80","2020-01-01 13:13","3.0","47","9.8","15","2020-01-01 13:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1022.9","...","1025.3","2020-01-02 08:53","1021.6","2020-01-02 14:03","17.6","22.4","2020-01-02 11:51","13.7","2020-01-02 04:13","...","94","75","2020-01-02 13:32","1.0","49","10.0","40","2020-01-02 16:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1020.9","...","1023.4","2020-01-03 09:12","1018.8","2020-01-03 14:45","18.1","22.4","2020-01-03 11:22","14.4","2020-01-03 06:31","...","96","79","2020-01-03 14:15","0.4","17","5.4","304","2020-01-03 11:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1019.1","...","1021.3","2020-01-04 09:11","1017.1","2020-01-04 14:54","19.0","22.2","2020-01-04 12:41","15.9","2020-01-04 01:51","...","98","87","2020-01-04 15:24","0.7","1","6.4","45","2020-01-04 16:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1019.5","...","1021.5","2020-01-05 09:31","1017.8","2020-01-05 14:44","18.8","22.0","2020-01-05 11:02","15.9","2020-01-05 05:41","...","100","91","2020-01-05 11:01","0.6","9","6.3","297","2020-01-05 12:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1018.7","...","1021.2","2020-01-06 08:21","1016.2","2020-01-06 23:51","18.6","21.1","2020-01-06 11:51","17.3","2020-01-06 23:41","...","100","92","2020-01-06 12:04","0.6","48","5.6","6","2020-01-06 12:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1015.9","...","1019.0","2020-01-07 10:42","1014.0","2020-01-07 14:51","20.3","26.8","2020-01-07 14:12","16.7","2020-01-07 04:41","...","91","51","2020-01-07 14:25","0.3","12","5.1","285","2020-01-07 15:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1017.1","...","1019.1","2020-01-08 08:56","1014.7","2020-01-08 14:37","18.7","21.8","2020-01-08 12:15","15.2","2020-01-08 23:57","...","86","74","2020-01-08 10:11","3.3","48","12.1","6","2020-01-08 11:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1016.9","...","...","...","...","...","17.9","...","...","...","...","...","90","...","...","2.1","47","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.0","...","1017.2","2020-01-10 09:11","1013.2","2020-01-10 16:24","18.6","23.0","2020-01-10 10:31","15.8","2020-01-10 02:56","...","97","70","2020-01-10 10:31","1.1","5","8.2","3","2020-01-10 13:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1013.9","...","1015.7","2020-01-11 09:11","1012.4","2020-01-11 14:16","18.4","21.6","2020-01-11 11:42","16.3","2020-01-11 01:57","...","98","89","2020-01-11 14:11","1.7","49","8.0","28","2020-01-11 17:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1014.8","...","1016.9","2020-01-12 09:41","1012.8","2020-01-12 15:01","15.8","17.9","2020-01-12 12:13","13.9","2020-01-12 20:26","...","92","80","2020-01-12 15:23","4.4","47","14.3","31","2020-01-12 10:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1016.1","...","1019.1","2020-01-13 10:04","1013.5","2020-01-13 19:26","16.6","20.0","2020-01-13 14:21","14.3","2020-01-13 03:44","...","87","71","2020-01-13 14:12","2.9","43","10.9","53","2020-01-13 18:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1017.9","...","1020.6","2020-01-14 09:24","1015.3","2020-01-14 15:11","17.7","22.7","2020-01-14 11:11","15.7","2020-01-14 23:55","...","94","63","2020-01-14 11:24","2.9","40","12.0","27","2020-01-14 17:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1017.5","...","1019.7","2020-01-15 09:13","1016.0","2020-01-15 14:01","17.4","21.5","2020-01-15 13:05","13.2","2020-01-15 07:01","...","95","67","2020-01-15 12:26","2.0","40","9.3","42","2020-01-15 17:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1016.7","...","1018.5","2020-01-16 09:32","1014.3","2020-01-16 14:23","18.6","22.1","2020-01-16 10:51","15.9","2020-01-16 06:41","...","96","69","2020-01-16 10:51","2.4","47","7.8","46","2020-01-16 23:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1017.5","...","1019.1","2020-01-17 09:41","1015.4","2020-01-17 14:43","16.2","18.6","2020-01-17 11:41","13.8","2020-01-17 23:55","...","97","89","2020-01-17 11:24","4.3","47","13.1","46","2020-01-17 18:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1018.0","...","1019.5","2020-01-18 09:15","1015.9","2020-01-18 13:56","15.0","18.9","2020-01-18 13:12","12.6","2020-01-18 06:22","...","85","61","2020-01-18 13:21","3.5","39","11.9","51","2020-01-18 08:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1019.1","...","1021.3","2020-01-19 09:48","1017.2","2020-01-19 14:21","16.2","19.7","2020-01-19 13:03","14.2","2020-01-19 04:41","...","91","73","2020-01-19 13:03","2.8","47","9.3","66","2020-01-19 17:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1020.4","...","1022.3","2020-01-20 09:57","1018.2","2020-01-20 14:41","15.8","20.2","2020-01-20 11:33","13.5","2020-01-20 23:56","...","88","68","2020-01-20 11:33","3.1","47","13.5","45","2020-01-20 16:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1021.1","...","1023.9","2020-01-21 09:32","1019.1","2020-01-21 15:51","17.1","21.5","2020-01-21 13:31","12.5","2020-01-21 04:51","...","88","53","2020-01-21 11:41","2.1","47","8.0","6","2020-01-21 16:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1018.4","...","1020.6","2020-01-22 09:02","1016.3","2020-01-22 14:25","19.7","25.4","2020-01-22 12:37","16.0","2020-01-22 02:51","...","93","54","2020-01-22 15:04","0.8","28","6.3","299","2020-01-22 12:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1016.9","...","1018.8","2020-01-23 09:31","1015.0","2020-01-23 14:51","21.6","27.5","2020-01-23 13:11","17.1","2020-01-23 05:11","...","88","61","2020-01-23 13:13","1.0","9","7.1","308","2020-01-23 12:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1018.1","...","1019.7","2020-01-24 10:03","1016.2","2020-01-24 15:11","19.7","22.7","2020-01-24 14:33","18.3","2020-01-24 23:24","...","100","100","2020-01-24 00:01","3.2","42","11.3","57","2020-01-24 16:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1015.5","...","...","...","...","...","18.9","...","...","...","...","...","100","...","...","4.1","48","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1011.0","...","1013.8","2020-01-26 00:01","1008.1","2020-01-26 13:24","17.2","19.1","2020-01-26 15:23","15.2","2020-01-26 18:25","...","100","99","2020-01-26 06:42","3.4","47","12.9","4","2020-01-26 17:16","25.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1013.3","...","1016.3","2020-01-27 23:02","1010.9","2020-01-27 05:23","15.7","18.1","2020-01-27 12:51","14.1","2020-01-27 20:01","...","94","85","2020-01-27 14:21","3.6","45","10.1","39","2020-01-27 16:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1015.6","...","1018.8","2020-01-28 22:01","1013.1","2020-01-28 00:12","14.0","16.3","2020-01-28 13:31","12.1","2020-01-28 23:43","...","91","77","2020-01-28 13:42","3.6","49","12.8","40","2020-01-28 22:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1017.7","...","1019.1","2020-01-29 09:57","1016.2","2020-01-29 15:02","12.9","15.3","2020-01-29 14:11","11.0","2020-01-29 23:57","...","75","64","2020-01-29 14:17","3.9","49","13.1","45","2020-01-29 10:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1018.8","...","1020.7","2020-01-30 09:41","1017.1","2020-01-30 03:44","12.3","15.3","2020-01-30 12:22","10.7","2020-01-30 06:02","...","49","32","2020-01-30 22:22","5.2","46","16.3","52","2020-01-30 04:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1020.0","...","1022.2","2020-01-31 09:12","1018.1","2020-01-31 15:45","13.1","17.6","2020-01-31 14:13","10.3","2020-01-31 23:55","...","49","31","2020-01-31 12:36","3.7","45","11.5","41","2020-01-31 09:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
