"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.4","...","1009.4","2019-05-01 11:08","1004.3","2019-05-01 04:07","22.3","27.1","2019-05-01 00:08","20.2","2019-05-01 23:01","...","97","87","2019-05-01 00:42","3.2","44","12.6","31","2019-05-01 17:07","52.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1010.2","...","1012.4","2019-05-02 21:54","1007.5","2019-05-02 03:54","19.6","21.7","2019-05-02 09:11","18.1","2019-05-02 20:01","...","94","76","2019-05-02 08:25","1.8","33","8.4","46","2019-05-02 08:59","72.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1011.7","...","1013.7","2019-05-03 10:35","1009.7","2019-05-03 04:32","21.6","25.8","2019-05-03 15:00","18.2","2019-05-03 05:22","...","83","69","2019-05-03 10:53","2.8","27","11.0","23","2019-05-03 16:22","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1011.3","...","1012.8","2019-05-04 08:31","1009.6","2019-05-04 16:11","24.0","27.2","2019-05-04 13:33","20.7","2019-05-04 04:11","...","90","78","2019-05-04 15:32","1.1","305","7.8","295","2019-05-04 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.1","...","1011.5","2019-05-05 00:01","1006.2","2019-05-05 14:52","24.2","27.8","2019-05-05 13:25","21.6","2019-05-05 03:41","...","93","69","2019-05-05 13:25","0.5","51","6.1","297","2019-05-05 10:32","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.8","...","1009.3","2019-05-06 10:21","1006.5","2019-05-06 15:21","20.5","22.1","2019-05-06 00:55","18.4","2019-05-06 20:41","...","100","100","2019-05-06 00:01","2.2","38","9.1","42","2019-05-06 19:47","23.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1008.3","...","1009.7","2019-05-07 09:43","1006.4","2019-05-07 02:11","19.4","21.6","2019-05-07 14:55","17.7","2019-05-07 06:32","...","96","85","2019-05-07 16:45","3.5","41","12.0","49","2019-05-07 09:56","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1008.0","...","1009.6","2019-05-08 09:03","1006.2","2019-05-08 16:32","21.3","24.5","2019-05-08 12:32","18.7","2019-05-08 00:43","...","99","88","2019-05-08 12:49","1.4","34","8.3","4","2019-05-08 16:10","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.0","...","1008.4","2019-05-09 00:01","1005.2","2019-05-09 14:41","21.5","24.0","2019-05-09 10:21","20.6","2019-05-09 23:18","...","100","100","2019-05-09 00:01","1.8","38","8.1","53","2019-05-09 13:24","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1008.0","...","1009.3","2019-05-10 22:24","1006.2","2019-05-10 16:06","23.2","27.9","2019-05-10 16:41","20.2","2019-05-10 05:11","...","96","84","2019-05-10 16:44","1.9","31","9.5","16","2019-05-10 18:08","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1009.4","...","1011.5","2019-05-11 08:21","1007.5","2019-05-11 15:11","24.6","28.1","2019-05-11 15:04","21.1","2019-05-11 03:02","...","93","82","2019-05-11 13:32","2.2","48","9.9","4","2019-05-11 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1009.3","...","1010.6","2019-05-12 07:55","1007.7","2019-05-12 15:01","25.8","29.2","2019-05-12 09:33","22.7","2019-05-12 05:38","...","95","83","2019-05-12 09:40","1.5","41","7.2","26","2019-05-12 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
