"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.5","...","1015.9","2017-12-01 20:31","1012.8","2017-12-01 14:01","20.3","21.9","2017-12-01 12:54","19.4","2017-12-01 05:01","...","84","78","2017-12-01 12:53","5.5","44","16.5","41","2017-12-01 09:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1014.7","...","1016.9","2017-12-02 08:51","1013.1","2017-12-02 13:54","20.6","22.6","2017-12-02 11:42","19.4","2017-12-02 07:42","...","87","79","2017-12-02 11:24","4.4","40","13.7","40","2017-12-02 14:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1013.7","...","1016.0","2017-12-03 09:29","1010.9","2017-12-03 15:01","21.2","24.3","2017-12-03 14:41","20.1","2017-12-03 02:31","...","86","73","2017-12-03 14:41","5.1","38","13.0","55","2017-12-03 12:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1014.3","...","1016.0","2017-12-04 08:03","1012.4","2017-12-04 15:08","20.1","22.3","2017-12-04 10:53","18.6","2017-12-04 22:51","...","74","64","2017-12-04 21:12","5.8","45","17.0","40","2017-12-04 09:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.6","...","1019.7","2017-12-05 09:15","1014.6","2017-12-05 00:01","17.6","20.0","2017-12-05 13:23","15.2","2017-12-05 23:44","...","67","58","2017-12-05 13:50","5.5","49","15.5","51","2017-12-05 11:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1016.0","...","1017.5","2017-12-06 18:41","1014.4","2017-12-06 02:44","16.7","19.5","2017-12-06 11:21","14.7","2017-12-06 01:31","...","78","66","2017-12-06 11:21","2.8","37","9.3","49","2017-12-06 10:13","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1015.1","...","1016.9","2017-12-07 06:32","1013.1","2017-12-07 15:19","17.3","19.5","2017-12-07 13:21","15.7","2017-12-07 02:22","...","93","87","2017-12-07 10:25","3.0","38","11.9","41","2017-12-07 15:19","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1016.8","...","1018.5","2017-12-08 08:53","1014.9","2017-12-08 14:24","15.2","17.0","2017-12-08 00:01","13.8","2017-12-08 23:54","...","73","62","2017-12-08 20:56","7.3","44","20.8","52","2017-12-08 15:18","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1015.9","...","1017.9","2017-12-09 10:06","1014.1","2017-12-09 15:43","14.8","17.5","2017-12-09 14:51","13.1","2017-12-09 07:41","...","87","77","2017-12-09 13:15","2.6","41","10.9","44","2017-12-09 00:04","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.2","...","1016.5","2017-12-10 09:01","1013.5","2017-12-10 13:52","17.1","21.0","2017-12-10 13:52","12.1","2017-12-10 05:51","...","88","73","2017-12-10 10:45","2.3","24","12.1","57","2017-12-10 23:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
