"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","998.6","...","1002.5","2016-08-01 23:28","996.3","2016-08-01 06:00","29.9","32.7","2016-08-01 09:19","27.9","2016-08-01 05:14","...","85","66","2016-08-01 09:13","2.5","64","10.9","280","2016-08-01 13:19","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1003.6","...","1006.9","2016-08-02 23:04","1001.3","2016-08-02 02:23","29.2","33.8","2016-08-02 10:27","26.5","2016-08-02 17:44","...","82","54","2016-08-02 12:01","1.3","37","7.3","290","2016-08-02 13:23","22.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1006.0","...","1008.1","2016-08-03 22:41","1004.3","2016-08-03 02:18","29.5","33.3","2016-08-03 10:23","26.2","2016-08-03 04:21","...","81","56","2016-08-03 10:24","1.6","298","7.7","304","2016-08-03 13:54","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1006.4","...","1007.9","2016-08-04 21:54","1004.8","2016-08-04 16:01","29.9","32.7","2016-08-04 11:01","27.8","2016-08-04 05:58","...","79","58","2016-08-04 11:13","1.7","300","7.7","271","2016-08-04 12:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.7","...","1007.2","2016-08-05 00:01","1002.5","2016-08-05 16:04","29.5","31.9","2016-08-05 11:21","27.5","2016-08-05 06:01","...","81","66","2016-08-05 11:19","1.9","292","8.3","309","2016-08-05 12:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1000.5","...","1003.5","2016-08-06 00:01","997.5","2016-08-06 16:07","30.1","33.3","2016-08-06 14:26","27.5","2016-08-06 05:13","...","80","64","2016-08-06 14:26","2.2","34","10.7","3","2016-08-06 14:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","999.0","...","1000.9","2016-08-07 22:01","996.8","2016-08-07 15:12","29.9","32.9","2016-08-07 11:31","27.4","2016-08-07 05:51","...","79","66","2016-08-07 08:41","2.6","12","9.4","1","2016-08-07 14:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","999.4","...","1001.0","2016-08-08 08:25","997.4","2016-08-08 16:28","30.1","33.5","2016-08-08 12:33","28.1","2016-08-08 05:34","...","78","61","2016-08-08 12:45","2.4","31","9.9","18","2016-08-08 17:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.5","...","999.7","2016-08-09 21:31","996.5","2016-08-09 15:46","30.2","32.7","2016-08-09 11:31","28.1","2016-08-09 04:06","...","78","65","2016-08-09 09:31","2.0","45","8.0","17","2016-08-09 15:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","999.5","...","1000.9","2016-08-10 08:21","997.8","2016-08-10 15:32","29.8","32.3","2016-08-10 12:32","27.4","2016-08-10 05:16","...","80","71","2016-08-10 09:04","1.8","32","7.9","310","2016-08-10 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
