"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.9","...","1020.5","2012-01-01 09:09","1015.8","2012-01-01 15:02","16.7","19.9","2012-01-01 11:05","14.4","2012-01-01 20:31","...","71","60","2012-01-01 10:49","4.9","44","13.9","48","2012-01-01 14:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.1","...","1018.7","2012-01-02 08:49","1016.1","2012-01-02 15:37","16.4","19.4","2012-01-02 14:17","14.6","2012-01-02 01:46","...","68","54","2012-01-02 14:32","3.7","41","8.4","46","2012-01-02 17:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1017.0","...","1018.6","2012-01-03 21:33","1015.2","2012-01-03 13:46","16.8","22.7","2012-01-03 11:01","13.1","2012-01-03 06:16","...","78","60","2012-01-03 10:46","2.9","41","10.7","45","2012-01-03 21:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1020.1","...","1022.8","2012-01-04 09:34","1018.3","2012-01-04 00:10","12.1","15.2","2012-01-04 00:01","10.9","2012-01-04 18:07","...","75","69","2012-01-04 14:21","6.9","44","15.4","45","2012-01-04 06:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1019.3","...","1022.1","2012-01-05 09:54","1017.3","2012-01-05 23:38","12.7","14.7","2012-01-05 23:31","11.0","2012-01-05 07:19","...","88","73","2012-01-05 00:47","4.3","43","12.3","38","2012-01-05 02:34","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1018.6","...","1020.3","2012-01-06 20:48","1016.7","2012-01-06 03:22","15.7","16.9","2012-01-06 13:36","14.0","2012-01-06 03:02","...","95","84","2012-01-06 00:31","3.3","38","9.6","30","2012-01-06 13:51","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1019.7","...","1020.9","2012-01-07 10:03","1018.6","2012-01-07 04:17","17.1","19.2","2012-01-07 12:02","15.6","2012-01-07 06:33","...","88","79","2012-01-07 11:37","4.7","39","12.8","53","2012-01-07 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1019.6","...","1021.5","2012-01-08 09:02","1017.7","2012-01-08 14:49","17.6","18.7","2012-01-08 13:46","16.9","2012-01-08 04:10","...","91","88","2012-01-08 05:02","4.0","44","11.6","38","2012-01-08 15:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1018.4","...","1020.3","2012-01-09 09:24","1016.2","2012-01-09 15:11","17.8","20.3","2012-01-09 12:16","16.4","2012-01-09 07:17","...","86","75","2012-01-09 12:16","4.8","41","12.7","53","2012-01-09 07:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1018.0","...","1019.5","2012-01-10 09:35","1016.1","2012-01-10 14:03","18.2","20.9","2012-01-10 12:37","16.7","2012-01-10 02:23","...","79","69","2012-01-10 14:46","4.7","44","11.7","14","2012-01-10 12:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1019.7","...","1021.4","2012-01-11 09:46","1018.4","2012-01-11 01:17","16.9","19.3","2012-01-11 11:32","14.8","2012-01-11 23:51","...","71","61","2012-01-11 11:35","5.9","44","15.7","46","2012-01-11 18:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1018.7","...","1020.8","2012-01-12 09:17","1016.5","2012-01-12 14:38","17.4","20.1","2012-01-12 13:46","15.2","2012-01-12 03:20","...","78","67","2012-01-12 13:47","2.8","44","7.8","20","2012-01-12 17:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1016.7","...","1019.2","2012-01-13 09:37","1014.3","2012-01-13 23:47","18.5","20.4","2012-01-13 14:11","17.1","2012-01-13 04:46","...","89","82","2012-01-13 14:18","2.2","20","5.8","20","2012-01-13 15:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1012.5","...","1014.9","2012-01-14 08:52","1010.2","2012-01-14 14:56","18.1","19.9","2012-01-14 10:16","16.8","2012-01-14 23:55","...","97","93","2012-01-14 09:33","2.0","1","5.3","21","2012-01-14 12:49","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1007.9","...","1011.5","2012-01-15 00:02","1005.1","2012-01-15 15:20","18.0","20.2","2012-01-15 11:16","16.0","2012-01-15 23:58","...","95","87","2012-01-15 11:49","2.9","40","9.1","5","2012-01-15 23:31","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1009.6","...","1012.0","2012-01-16 20:33","1007.9","2012-01-16 04:18","16.2","18.9","2012-01-16 11:33","14.7","2012-01-16 00:48","...","91","80","2012-01-16 11:31","3.5","41","9.7","75","2012-01-16 01:59","13.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1011.8","...","1013.5","2012-01-17 09:16","1009.9","2012-01-17 02:55","17.4","21.3","2012-01-17 14:21","14.7","2012-01-17 00:47","...","84","65","2012-01-17 14:22","2.8","46","8.2","2","2012-01-17 16:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1011.7","...","1013.9","2012-01-18 09:16","1010.1","2012-01-18 14:16","18.3","24.1","2012-01-18 13:55","15.9","2012-01-18 02:52","...","89","61","2012-01-18 13:51","1.6","43","5.6","4","2012-01-18 10:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1012.2","...","1014.3","2012-01-19 09:01","1010.8","2012-01-19 15:47","18.5","24.5","2012-01-19 11:48","15.8","2012-01-19 02:47","...","89","63","2012-01-19 11:01","2.6","48","8.1","2","2012-01-19 14:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1012.4","...","1014.9","2012-01-20 09:10","1010.5","2012-01-20 02:54","17.7","20.5","2012-01-20 14:36","16.1","2012-01-20 23:57","...","87","74","2012-01-20 14:47","3.2","40","10.4","11","2012-01-20 11:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1012.3","...","1014.2","2012-01-21 11:04","1011.0","2012-01-21 17:31","17.4","20.0","2012-01-21 13:51","15.9","2012-01-21 01:04","...","86","75","2012-01-21 13:51","3.0","44","9.1","60","2012-01-21 06:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1013.9","...","1015.7","2012-01-22 10:16","1012.3","2012-01-22 14:36","14.1","16.8","2012-01-22 00:51","12.3","2012-01-22 23:51","...","91","88","2012-01-22 12:34","4.8","46","11.3","62","2012-01-22 23:41","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1015.8","...","1017.7","2012-01-23 09:01","1013.5","2012-01-23 06:17","13.2","14.9","2012-01-23 14:19","10.7","2012-01-23 07:04","...","84","77","2012-01-23 14:50","4.3","44","11.6","54","2012-01-23 03:12","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1014.4","...","1017.0","2012-01-24 09:48","1011.7","2012-01-24 15:02","15.1","18.5","2012-01-24 14:16","13.1","2012-01-24 07:05","...","89","78","2012-01-24 14:26","3.2","42","10.1","49","2012-01-24 23:48","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1015.8","...","1017.6","2012-01-25 10:34","1013.9","2012-01-25 03:46","12.6","14.3","2012-01-25 14:03","11.3","2012-01-25 10:17","...","83","72","2012-01-25 14:47","4.6","43","10.6","40","2012-01-25 03:46","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1016.8","...","1019.0","2012-01-26 09:04","1014.8","2012-01-26 12:38","14.8","19.0","2012-01-26 13:09","11.5","2012-01-26 00:10","...","86","71","2012-01-26 12:38","2.3","39","6.2","345","2012-01-26 13:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1014.4","...","1016.7","2012-01-27 09:01","1012.4","2012-01-27 14:48","16.5","19.8","2012-01-27 13:34","14.9","2012-01-27 07:55","...","90","74","2012-01-27 11:34","2.5","41","6.3","12","2012-01-27 14:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1013.3","...","1016.1","2012-01-28 10:01","1011.3","2012-01-28 15:46","16.7","20.0","2012-01-28 13:16","14.2","2012-01-28 07:01","...","90","78","2012-01-28 13:18","2.6","42","6.4","44","2012-01-28 10:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1014.5","...","1016.5","2012-01-29 10:02","1012.6","2012-01-29 00:01","17.1","19.6","2012-01-29 17:38","15.7","2012-01-29 00:16","...","87","81","2012-01-29 14:03","3.6","38","7.6","31","2012-01-29 12:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1016.1","...","1017.7","2012-01-30 22:53","1014.3","2012-01-30 13:36","16.6","19.8","2012-01-30 13:36","15.3","2012-01-30 05:49","...","84","73","2012-01-30 13:32","4.6","40","12.1","40","2012-01-30 20:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1017.2","...","1019.3","2012-01-31 08:29","1014.9","2012-01-31 15:20","15.6","18.5","2012-01-31 12:46","14.0","2012-01-31 23:50","...","79","68","2012-01-31 12:34","3.9","42","9.1","43","2012-01-31 00:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
