"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.7","...","1003.9","2017-08-01 22:51","1000.9","2017-08-01 17:47","28.6","31.1","2017-08-01 12:11","26.8","2017-08-01 16:12","...","X","79","2017-08-01 16:12","3.3","183","13.6","247","2017-08-01 16:02","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1001.7","...","1003.3","2017-08-02 09:08","999.3","2017-08-02 15:41","28.8","32.5","2017-08-02 15:21","27.7","2017-08-02 09:01","...","78","65","2017-08-02 15:21","2.1","182","7.4","195","2017-08-02 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1000.6","...","1002.3","2017-08-03 21:41","997.9","2017-08-03 15:52","29.8","33.5","2017-08-03 11:24","27.3","2017-08-03 03:07","...","78","59","2017-08-03 11:24","2.5","169","9.1","299","2017-08-03 14:20","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1001.8","...","1003.3","2017-08-04 22:03","1000.5","2017-08-04 03:16","29.8","32.4","2017-08-04 12:41","27.8","2017-08-04 01:34","...","79","63","2017-08-04 09:56","2.6","168","8.6","322","2017-08-04 13:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1003.4","...","1004.8","2017-08-05 22:04","1002.1","2017-08-05 17:03","30.0","32.7","2017-08-05 14:21","27.8","2017-08-05 05:35","...","77","61","2017-08-05 14:02","2.8","194","8.9","280","2017-08-05 13:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1003.9","...","1005.6","2017-08-06 09:31","1001.7","2017-08-06 16:41","30.2","33.2","2017-08-06 14:32","28.0","2017-08-06 04:57","...","77","62","2017-08-06 16:04","3.2","179","10.3","275","2017-08-06 12:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1004.2","...","1005.8","2017-08-07 08:27","1002.4","2017-08-07 01:09","30.6","33.7","2017-08-07 11:23","28.5","2017-08-07 02:21","...","78","60","2017-08-07 10:19","3.5","178","10.2","307","2017-08-07 13:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1004.9","...","1006.1","2017-08-08 08:51","1003.7","2017-08-08 14:35","30.5","32.7","2017-08-08 10:41","28.6","2017-08-08 05:51","...","75","63","2017-08-08 10:54","4.1","191","13.8","259","2017-08-08 13:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1004.5","...","1006.1","2017-08-09 08:42","1002.7","2017-08-09 16:17","30.4","33.2","2017-08-09 13:02","27.7","2017-08-09 07:42","...","74","58","2017-08-09 11:29","3.8","186","12.2","288","2017-08-09 13:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1005.0","...","1007.7","2017-08-10 09:51","1003.3","2017-08-10 15:41","29.1","32.7","2017-08-10 15:32","25.1","2017-08-10 08:42","...","82","65","2017-08-10 15:12","3.5","191","12.3","240","2017-08-10 08:53","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.2","...","1007.8","2017-08-11 09:11","1004.3","2017-08-11 16:14","30.1","32.5","2017-08-11 12:12","28.1","2017-08-11 05:51","...","79","66","2017-08-11 12:12","3.2","174","10.5","249","2017-08-11 11:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
