"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.1","...","1022.8","2019-02-01 09:42","1018.5","2019-02-01 15:02","15.8","17.6","2019-02-01 15:51","14.5","2019-02-01 05:01","...","84","74","2019-02-01 11:16","4.6","41","14.9","47","2019-02-01 04:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.5","...","1020.1","2019-02-02 00:01","1015.3","2019-02-02 15:21","17.7","21.9","2019-02-02 11:33","15.0","2019-02-02 00:01","...","94","77","2019-02-02 10:24","1.6","47","7.6","334","2019-02-02 12:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1016.2","...","1017.8","2019-02-03 08:51","1014.9","2019-02-03 02:31","21.3","28.5","2019-02-03 11:11","16.1","2019-02-03 03:41","...","94","52","2019-02-03 11:05","0.7","13","7.7","308","2019-02-03 12:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1017.0","...","1019.5","2019-02-04 09:23","1015.3","2019-02-04 15:01","19.7","22.3","2019-02-04 04:47","17.4","2019-02-04 23:34","...","99","86","2019-02-04 13:21","3.2","35","11.2","17","2019-02-04 17:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1015.5","...","1017.6","2019-02-05 08:31","1013.0","2019-02-05 13:51","19.2","24.0","2019-02-05 14:06","16.7","2019-02-05 06:41","...","98","79","2019-02-05 13:51","2.1","19","7.7","66","2019-02-05 03:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1013.2","...","1015.7","2019-02-06 00:51","1011.2","2019-02-06 14:31","21.0","25.1","2019-02-06 12:24","18.1","2019-02-06 04:43","...","96","80","2019-02-06 12:43","1.4","30","8.5","14","2019-02-06 09:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.8","...","1016.3","2019-02-07 07:23","1010.8","2019-02-07 14:27","23.4","30.7","2019-02-07 13:23","18.8","2019-02-07 23:57","...","85","26","2019-02-07 13:26","1.5","39","10.8","303","2019-02-07 15:18","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1015.4","...","1017.2","2019-02-08 08:16","1012.7","2019-02-08 15:12","18.7","21.7","2019-02-08 11:51","16.8","2019-02-08 06:31","...","91","73","2019-02-08 15:21","3.7","41","11.9","15","2019-02-08 12:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1017.6","...","1019.7","2019-02-09 22:32","1015.3","2019-02-09 04:22","18.6","21.3","2019-02-09 11:11","16.4","2019-02-09 23:32","...","93","80","2019-02-09 11:13","3.2","43","10.8","35","2019-02-09 16:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1020.6","...","1022.6","2019-02-10 23:11","1018.8","2019-02-10 02:11","18.2","22.2","2019-02-10 14:54","15.8","2019-02-10 02:13","...","94","75","2019-02-10 14:22","3.7","46","10.9","51","2019-02-10 17:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
