"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","...","1010.9","2018-09-01 00:01","1006.7","2018-09-01 15:21","28.7","31.8","2018-09-01 12:38","26.2","2018-09-01 05:21","...","85","70","2018-09-01 10:01","1.1","297","7.1","306","2018-09-01 14:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1006.1","...","1008.4","2018-09-02 00:01","1004.0","2018-09-02 15:31","28.6","31.2","2018-09-02 11:42","26.2","2018-09-02 06:05","...","86","71","2018-09-02 11:12","1.7","299","7.9","292","2018-09-02 14:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1004.4","...","1006.1","2018-09-03 08:22","1002.6","2018-09-03 16:04","28.9","32.2","2018-09-03 11:04","26.2","2018-09-03 05:07","...","81","58","2018-09-03 13:12","2.4","171","9.0","299","2018-09-03 11:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1003.3","...","1004.8","2018-09-04 09:15","1000.6","2018-09-04 14:43","29.4","33.7","2018-09-04 12:32","26.8","2018-09-04 04:33","...","83","62","2018-09-04 12:32","2.8","204","9.1","277","2018-09-04 15:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.0","...","1005.5","2018-09-05 10:21","1002.3","2018-09-05 16:01","29.6","32.4","2018-09-05 16:31","27.8","2018-09-05 05:44","...","86","72","2018-09-05 16:35","1.1","301","7.3","289","2018-09-05 12:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.3","...","1005.6","2018-09-06 23:42","1002.4","2018-09-06 16:25","29.4","32.3","2018-09-06 13:31","27.3","2018-09-06 23:11","...","84","67","2018-09-06 11:11","1.2","296","6.5","306","2018-09-06 13:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1004.9","...","1007.1","2018-09-07 21:41","1002.8","2018-09-07 16:23","29.0","32.5","2018-09-07 09:25","26.1","2018-09-07 22:54","...","85","69","2018-09-07 09:27","1.6","186","7.5","297","2018-09-07 12:24","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.4","...","1007.8","2018-09-08 08:49","1004.9","2018-09-08 16:01","28.0","30.9","2018-09-08 13:44","26.0","2018-09-08 03:43","...","87","72","2018-09-08 13:44","2.1","38","10.4","23","2018-09-08 18:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.5","...","1009.4","2018-09-09 22:05","1005.6","2018-09-09 15:25","26.3","28.2","2018-09-09 12:04","24.8","2018-09-09 19:42","...","85","78","2018-09-09 16:21","5.0","46","19.0","36","2018-09-09 15:07","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1006.7","...","1009.0","2018-09-10 00:03","1004.5","2018-09-10 15:01","26.7","30.4","2018-09-10 12:32","23.7","2018-09-10 05:52","...","82","71","2018-09-10 12:32","4.8","38","13.9","18","2018-09-10 14:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
