"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.2","...","1017.9","2019-12-01 00:38","1014.0","2019-12-01 13:32","21.0","26.1","2019-12-01 11:07","18.7","2019-12-01 03:31","...","96","70","2019-12-01 11:01","2.0","43","9.8","67","2019-12-01 21:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1017.8","...","1019.5","2019-12-02 19:01","1015.9","2019-12-02 02:33","17.4","20.1","2019-12-02 00:04","14.9","2019-12-02 19:24","...","79","54","2019-12-02 23:21","7.3","46","19.8","39","2019-12-02 14:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1018.6","...","1020.3","2019-12-03 09:08","1016.5","2019-12-03 15:13","16.9","20.8","2019-12-03 13:51","14.5","2019-12-03 05:22","...","59","43","2019-12-03 12:01","5.4","49","15.6","41","2019-12-03 06:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1019.2","...","1020.7","2019-12-04 19:33","1017.2","2019-12-04 13:29","17.8","21.1","2019-12-04 13:01","15.8","2019-12-04 23:51","...","62","48","2019-12-04 11:53","5.6","46","15.6","43","2019-12-04 09:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1019.8","...","1021.5","2019-12-05 20:21","1018.4","2019-12-05 13:15","14.9","15.9","2019-12-05 00:01","14.3","2019-12-05 13:01","...","99","79","2019-12-05 00:01","7.1","46","18.3","49","2019-12-05 21:27","32.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1018.7","...","1020.1","2019-12-06 00:01","1016.9","2019-12-06 03:01","15.2","15.8","2019-12-06 15:13","14.2","2019-12-06 23:22","...","100","99","2019-12-06 09:41","7.2","46","23.0","25","2019-12-06 04:29","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1020.1","...","1022.0","2019-12-07 20:35","1018.1","2019-12-07 01:44","15.1","17.0","2019-12-07 13:15","13.4","2019-12-07 02:31","...","89","64","2019-12-07 23:22","8.0","45","22.6","49","2019-12-07 12:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1020.7","...","1022.5","2019-12-08 08:42","1018.5","2019-12-08 14:53","16.7","21.0","2019-12-08 13:24","14.2","2019-12-08 02:15","...","57","41","2019-12-08 15:19","4.4","44","13.7","39","2019-12-08 11:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1018.9","...","1021.0","2019-12-09 00:01","1016.6","2019-12-09 16:41","16.6","21.2","2019-12-09 14:21","12.3","2019-12-09 06:11","...","74","54","2019-12-09 12:33","0.4","47","5.2","22","2019-12-09 11:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.3","...","1018.5","2019-12-10 08:23","1014.3","2019-12-10 14:13","18.4","23.6","2019-12-10 10:52","14.5","2019-12-10 06:11","...","87","49","2019-12-10 10:53","0.9","15","6.2","336","2019-12-10 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
