"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.3","...","1012.3","2016-05-01 10:11","1008.4","2016-05-01 16:32","23.1","26.3","2016-05-01 17:41","20.8","2016-05-01 06:14","...","90","73","2016-05-01 13:01","1.2","21","6.7","45","2016-05-01 04:52","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1008.6","...","1010.6","2016-05-02 08:34","1006.6","2016-05-02 16:15","26.8","30.9","2016-05-02 10:52","22.2","2016-05-02 04:22","...","81","60","2016-05-02 10:52","2.0","55","9.2","197","2016-05-02 16:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1008.7","...","1010.6","2016-05-03 21:41","1007.0","2016-05-03 15:36","27.5","30.4","2016-05-03 13:31","25.6","2016-05-03 06:03","...","82","59","2016-05-03 12:52","3.1","276","10.0","281","2016-05-03 12:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1009.9","...","1011.0","2016-05-04 07:41","1008.4","2016-05-04 17:16","27.2","29.5","2016-05-04 14:41","25.3","2016-05-04 03:41","...","84","74","2016-05-04 10:02","1.4","294","6.9","316","2016-05-04 11:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.1","...","1011.0","2016-05-05 09:34","1006.9","2016-05-05 16:03","28.1","31.6","2016-05-05 11:21","25.7","2016-05-05 01:42","...","79","61","2016-05-05 11:21","2.5","168","9.0","278","2016-05-05 16:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.0","...","1010.1","2016-05-06 09:37","1005.6","2016-05-06 16:51","28.7","32.0","2016-05-06 14:13","25.3","2016-05-06 05:13","...","79","64","2016-05-06 08:43","2.7","176","9.0","281","2016-05-06 12:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.2","...","1010.7","2016-05-07 10:31","1007.6","2016-05-07 05:15","28.3","30.3","2016-05-07 09:02","26.4","2016-05-07 05:31","...","82","69","2016-05-07 14:53","2.0","220","7.3","304","2016-05-07 10:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.0","...","1011.6","2016-05-08 09:21","1008.5","2016-05-08 15:47","28.6","30.9","2016-05-08 12:51","25.9","2016-05-08 04:51","...","79","69","2016-05-08 16:42","1.2","299","5.9","303","2016-05-08 11:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1008.2","...","1010.4","2016-05-09 00:02","1005.9","2016-05-09 16:01","28.9","31.9","2016-05-09 10:23","26.6","2016-05-09 04:44","...","81","64","2016-05-09 10:14","2.9","211","9.2","275","2016-05-09 14:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1005.7","...","1007.3","2016-05-10 20:37","1004.1","2016-05-10 15:54","27.9","30.9","2016-05-10 13:51","23.2","2016-05-10 21:26","...","80","55","2016-05-10 14:09","3.3","189","10.3","241","2016-05-10 09:19","55.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
